I,R,C,W,E,F
0,0,1,0,0,0
0,0,21,0,0,0
0,19,23,5,0,0
0,0,1,0,0,0
0,1,4,4,0,0
0,11,85,19,0,0
0,22,185,34,0,0
0,1,4,4,0,0
0,17,111,27,0,0
0,1,4,4,0,0
0,17,89,27,0,0
0,17,92,27,0,0
0,1,4,4,0,0
0,1,4,4,0,0
0,119,792,196,0,0
0,73,497,121,0,0
0,119,801,196,0,0
0,1,4,4,0,0
0,2,8,6,0,0
0,2,8,6,0,0
0,1,4,4,0,0
0,6,30,13,0,0
0,6,30,13,0,0
0,1,4,4,0,0
0,23,182,38,0,0
0,23,182,38,0,0
0,1,4,4,0,0
0,23,127,38,0,0
0,23,141,38,0,0
0,23,141,38,0,0
0,1,4,4,0,0
0,19,126,30,0,0
0,1,4,4,0,0
0,362,2182,583,0,0
0,48,188,73,0,0
0,1,4,4,0,0
0,16,112,27,0,0
0,1,4,4,0,0
0,131,864,215,0,0
0,2,4,6,0,0
0,1,4,4,0,0
0,16,126,27,0,0
0,1,4,4,0,0
0,33,248,53,0,0
0,1,4,4,0,0
0,52,359,80,0,0
0,52,363,80,0,0
0,52,363,80,0,0
0,1,4,4,0,0
0,11,79,19,0,0
0,11,78,19,0,0
0,1,4,4,0,0
0,16,119,27,0,0
0,1,4,4,0,0
0,11,73,19,0,0
0,11,78,19,0,0
0,22,149,34,0,0
0,1,2,4,0,0
0,3,12,4,1,0
0,0,6,0,0,0
0,0,3,5,0,0
0,0,3,6,0,0
0,2,7,9,0,0
0,2,5,10,0,0
0,1,7,7,0,0
0,2,8,7,0,0
0,2,17,12,0,0
0,2,14,12,0,0
0,0,3,8,0,0
0,0,3,5,0,0
0,0,7,6,0,0
0,2,13,9,0,0
0,0,3,5,0,0
0,0,7,6,0,0
0,0,3,4,0,0
0,0,7,6,0,0
0,2,7,9,0,0
0,2,5,10,0,0
0,1,7,7,0,0
0,2,9,7,0,0
0,2,20,12,0,0
0,2,16,12,0,0
0,0,3,8,0,0
0,0,5,6,0,0
0,0,3,8,0,0
0,0,3,8,0,0
0,1,9,8,0,0
0,1,9,7,0,0
0,6,44,20,0,0
0,0,3,5,0,0
0,0,8,6,0,0
0,0,5,5,0,0
0,2,13,9,0,0
0,0,3,5,0,0
0,0,7,6,0,0
0,0,6,5,0,0
0,0,7,6,0,0
0,0,3,4,0,0
0,0,7,6,0,0
0,0,5,6,0,0
0,0,3,8,0,0
0,0,3,8,0,0
0,1,9,8,0,0
0,1,9,7,0,0
0,6,42,20,0,0
0,0,5,5,0,0
0,0,5,5,0,0
0,0,7,6,0,0
0,0,5,9,0,0
0,0,7,7,0,0
0,0,5,5,0,0
0,2,13,8,0,0
0,0,7,6,0,0
0,2,12,8,0,0
0,1,7,6,0,0
0,2,7,9,0,0
0,2,4,9,0,0
0,1,7,7,0,0
0,2,16,13,0,0
0,0,3,5,0,0
0,1,12,6,0,0
0,0,3,4,0,0
0,1,11,7,0,0
0,2,10,8,0,0
0,1,7,6,0,0
0,0,5,5,0,0
0,1,9,7,0,0
0,0,3,6,0,0
0,2,14,9,0,0
0,2,14,9,0,0
0,1,9,7,0,0
0,1,9,7,0,0
0,0,5,5,0,0
0,2,10,8,0,0
0,2,9,8,0,0
0,1,7,7,0,0
0,1,7,7,0,0
0,1,5,8,0,0
0,1,9,8,0,0
0,1,9,7,0,0
0,2,13,9,0,0
0,0,5,6,0,0
0,0,5,6,0,0
0,1,7,7,0,0
0,2,12,6,0,0
0,0,7,7,0,0
0,1,9,8,0,0
0,6,42,24,0,0
0,0,5,5,0,0
0,2,9,8,0,0
0,0,3,7,0,0
0,0,3,5,0,0
0,2,4,10,0,0
0,0,3,6,0,0
0,2,10,7,0,0
0,2,9,8,0,0
0,1,7,7,0,0
0,0,5,5,0,0
0,2,18,10,0,0
0,0,3,4,0,0
0,2,13,9,0,0
0,2,4,9,0,0
0,1,9,7,0,0
0,2,12,7,0,0
0,2,18,10,0,0
0,0,5,8,0,0
0,2,16,10,0,0
0,2,7,9,0,0
0,2,4,10,0,0
0,1,7,7,0,0
0,2,14,10,0,0
0,2,14,12,0,0
0,0,3,8,0,0
0,0,3,5,0,0
0,1,11,7,0,0
0,0,5,6,0,0
0,0,7,6,0,0
0,1,11,7,0,0
0,0,5,6,0,0
0,0,7,7,0,0
0,1,11,8,0,0
0,1,9,7,0,0
0,0,3,7,0,0
0,0,5,6,0,0
0,1,8,8,0,0
0,5,12,21,0,0
0,1,9,7,0,0
0,0,3,7,0,0
0,0,3,6,0,0
0,0,5,5,0,0
0,2,9,9,0,0
0,2,9,8,0,0
0,2,9,8,0,0
0,0,5,6,0,0
0,1,11,7,0,0
0,0,5,6,0,0
0,0,9,5,0,0
0,0,5,4,0,0
0,0,3,7,0,0
0,2,11,9,0,0
0,1,7,7,0,0
0,1,15,6,0,0
0,2,13,7,0,0
0,0,7,6,0,0
0,0,7,7,0,0
0,2,7,8,0,0
0,0,3,4,0,0
0,0,3,4,0,0
0,0,7,5,0,0
0,0,5,5,0,0
0,2,12,12,0,0
0,2,12,12,0,0
0,2,13,9,0,0
0,2,4,10,0,0
0,1,9,7,0,0
0,2,16,10,0,0
0,2,10,10,0,0
0,0,7,5,0,0
0,0,5,6,0,0
0,0,7,5,0,0
0,0,7,6,0,0
0,1,11,8,0,0
0,2,8,16,0,0
0,1,11,7,0,0
0,0,3,4,0,0
0,0,7,7,0,0
0,0,11,6,0,0
0,0,5,5,0,0
0,0,5,5,0,0
0,2,9,8,0,0
0,0,5,4,0,0
0,2,13,9,0,0
0,1,11,7,0,0
0,0,5,5,0,0
0,0,5,5,0,0
0,1,9,8,0,0
0,0,11,6,0,0
0,0,7,6,0,0
0,1,9,7,0,0
0,0,9,7,0,0
0,0,7,6,0,0
0,1,11,7,0,0
0,0,9,5,0,0
0,2,13,9,0,0
0,0,3,6,0,0
0,0,26,6,0,0
0,2,4,10,0,0
0,0,3,5,0,0
0,1,11,8,0,0
0,0,3,5,0,0
0,1,9,7,0,0
0,0,3,4,0,0
0,0,7,5,0,0
0,0,3,6,0,0
0,2,12,10,0,0
0,2,16,15,0,0
0,2,10,4,0,0
0,0,3,6,0,0
0,0,7,5,0,0
0,0,3,5,0,0
0,4,35,20,0,0
0,2,16,11,0,0
0,2,8,6,0,0
0,2,13,9,0,0
0,2,13,9,0,0
0,2,7,10,0,0
0,1,11,7,0,0
0,2,12,10,0,0
0,1,7,8,0,0
0,0,5,5,0,0
0,1,11,7,0,0
0,6,55,34,0,0
0,0,7,7,0,0
0,0,5,5,0,0
0,2,13,9,0,0
0,0,26,6,0,0
0,0,7,6,0,0
0,0,26,6,0,0
0,2,8,10,0,0
0,0,9,7,0,0
0,0,3,6,0,0
0,1,9,7,0,0
0,0,3,4,0,0
0,2,18,11,0,0
0,6,58,31,0,0
0,2,22,15,0,0
0,1,11,8,0,0
0,1,9,7,0,0
0,0,7,6,0,0
0,2,14,8,0,0
0,0,7,6,0,0
0,0,3,5,0,0
0,0,3,4,0,0
0,2,12,12,0,0
0,0,5,5,0,0
0,2,7,7,0,0
0,2,20,10,0,0
0,2,20,10,0,0
0,2,13,9,0,0
0,2,4,9,0,0
0,1,11,7,0,0
0,1,11,7,0,0
0,2,8,9,0,0
0,2,13,9,0,0
0,2,5,9,0,0
0,1,11,7,0,0
0,1,11,8,0,0
0,2,13,9,0,0
0,2,10,11,0,0
0,0,3,6,0,0
0,2,13,9,0,0
0,1,11,7,0,0
0,0,9,7,0,0
0,0,5,6,0,0
0,0,7,6,0,0
0,1,11,7,0,0
0,1,7,7,0,0
0,2,9,8,0,0
0,1,7,7,0,0
0,1,7,7,0,0
0,0,3,4,0,0
0,0,5,5,0,0
0,0,7,6,0,0
0,0,5,5,0,0
0,2,13,9,0,0
0,2,12,11,0,0
0,2,12,11,0,0
0,0,3,5,0,0
0,0,5,5,0,0
0,0,3,5,0,0
0,0,7,5,0,0
0,1,3,10,0,0
0,2,14,12,0,0
0,0,5,6,0,0
0,0,5,6,0,0
0,1,11,7,0,0
0,0,7,7,0,0
0,0,3,6,0,0
0,1,9,8,0,0
0,2,18,12,0,0
0,2,7,8,0,0
0,0,4,6,0,0
0,2,7,8,0,0
0,0,3,5,0,0
0,0,7,4,0,0
0,2,13,9,0,0
0,2,17,10,0,0
0,1,11,7,0,0
0,0,7,6,0,0
0,1,9,7,0,0
0,2,9,8,0,0
0,0,3,6,0,0
0,3,28,19,0,0
0,0,3,5,0,0
0,0,3,5,0,0
0,2,9,9,0,0
0,2,4,9,0,0
0,1,7,7,0,0
0,2,20,9,0,0
0,2,18,12,0,0
0,0,5,8,0,0
0,2,16,12,0,0
0,0,9,7,0,0
0,2,14,10,0,0
0,2,20,13,0,0
0,1,9,7,0,0
0,2,14,9,0,0
0,2,14,9,0,0
0,1,9,6,0,0
0,2,7,8,0,0
0,2,9,10,0,0
0,1,7,7,0,0
0,1,12,5,0,0
0,0,3,4,0,0
0,1,7,6,0,0
0,0,5,5,0,0
0,2,7,8,0,0
0,0,3,5,0,0
0,0,3,7,0,0
0,2,13,9,0,0
0,0,5,4,0,0
0,0,3,5,0,0
0,1,5,8,0,0
0,6,42,31,0,0
0,0,3,4,0,0
0,2,8,7,0,0
0,0,3,5,0,0
0,1,3,8,0,0
0,1,7,7,0,0
0,0,5,8,0,0
0,0,3,4,0,0
0,0,5,5,0,0
0,2,10,8,0,0
0,2,9,8,0,0
0,1,7,7,0,0
0,1,7,7,0,0
0,0,7,5,0,0
0,1,11,8,0,0
0,1,9,7,0,0
0,1,7,8,0,0
0,1,9,7,0,0
0,2,3,9,0,0
0,2,14,8,0,0
0,2,16,9,0,0
0,1,9,7,0,0
0,1,7,7,0,0
0,2,9,8,0,0
0,1,7,7,0,0
0,1,7,7,0,0
0,0,3,4,0,0
0,0,9,7,0,0
0,1,9,6,0,0
0,2,13,8,0,0
0,1,9,7,0,0
0,0,4,5,0,0
0,0,5,4,0,0
0,1,12,7,0,0
0,0,5,6,0,0
0,0,5,5,0,0
0,2,7,9,0,0
0,2,4,9,0,0
0,1,7,7,0,0
0,2,16,13,0,0
0,0,3,5,0,0
0,2,7,9,0,0
0,1,4,9,0,0
0,1,7,7,0,0
0,2,7,14,0,0
0,0,5,11,0,0
0,2,10,8,0,0
0,2,9,8,0,0
0,1,7,7,0,0
0,1,7,7,0,0
0,2,9,8,0,0
0,1,7,7,0,0
0,2,13,9,0,0
0,1,9,7,0,0
0,2,15,9,0,0
0,0,3,6,0,0
0,2,10,11,0,0
0,2,7,9,0,0
0,2,5,9,0,0
0,1,7,7,0,0
0,2,8,8,0,0
0,2,11,9,0,0
0,0,7,4,0,0
0,0,5,4,0,0
0,0,13,5,0,0
0,0,3,6,0,0
0,0,3,5,0,0
0,2,13,9,0,0
0,2,4,9,0,0
0,1,9,7,0,0
0,2,14,9,0,0
0,2,21,10,0,0
0,0,3,8,0,0
0,5,14,22,0,0
0,1,9,7,0,0
0,0,3,4,0,0
0,1,7,8,0,0
0,0,3,6,0,0
0,0,5,5,0,0
0,0,3,4,0,0
0,2,13,9,0,0
0,0,3,4,0,0
0,1,9,7,0,0
0,0,5,6,0,0
0,0,9,7,0,0
0,0,3,5,0,0
0,0,7,6,0,0
0,0,5,5,0,0
0,0,7,6,0,0
0,6,19,46,0,0
0,2,9,8,0,0
0,1,9,8,0,0
0,1,9,7,0,0
0,1,9,8,0,0
0,0,11,6,0,0
0,0,7,6,0,0
0,1,9,7,0,0
0,0,9,7,0,0
0,0,7,6,0,0
0,1,11,7,0,0
0,0,3,6,0,0
0,0,7,5,0,0
0,2,7,9,0,0
0,1,7,7,0,0
0,0,7,7,0,0
0,2,10,5,0,0
0,2,14,8,0,0
0,2,16,9,0,0
0,1,9,7,0,0
0,2,13,9,0,0
0,2,4,9,0,0
0,1,11,7,0,0
0,1,11,8,0,0
0,2,8,9,0,0
0,2,10,11,0,0
0,1,11,7,0,0
0,1,7,7,0,0
0,2,9,8,0,0
0,1,7,7,0,0
0,1,7,7,0,0
0,0,3,4,0,0
0,0,5,5,0,0
0,0,3,5,0,0
0,1,11,8,0,0
0,2,7,8,0,0
