I,R,C,W,E,F
0,0,14,2,2,0
0,0,31,5,2,0
0,0,10,1,0,0
0,0,1,0,0,0
0,0,5,0,0,0
0,0,6,0,0,0
0,0,4,0,0,0
0,0,7,1,0,0
0,7,307,17,0,0
0,2,18,7,0,0
0,0,14,1,0,0
0,0,13,9,0,0
0,0,27,5,0,0
0,1,33,17,0,0
0,0,7,4,0,0
0,0,10,1,0,0
0,0,11,6,1,0
0,0,6,6,0,0
0,3,38,2,0,0
0,0,20,2,0,0
0,0,10,1,0,0
0,1,4,2,0,0
0,1,15,4,5,0
0,0,6,4,0,0
0,1,7,1,0,0
0,0,2,1,1,0
0,0,2,2,0,0
0,4,25,10,0,0
0,1,36,10,0,0
0,0,9,4,0,0
0,0,17,1,2,0
0,0,7,2,0,0
0,4,17,1,0,0
0,0,1,0,0,0
0,1,20,0,0,0
0,0,3,3,0,0
0,2,35,18,2,0
0,211,52,15,6,0
0,2,19,3,0,0
0,0,9,0,0,0
0,1,38,3,0,0
0,0,4,1,0,0
0,14,64,25,0,0
0,0,10,6,0,0
0,0,31,0,0,0
0,2,21,11,0,0
0,14,60,6,0,0
0,7,75,5,0,0
0,5,32,6,1,0
0,11,109,12,1,0
0,1,10,6,0,0
0,5,31,6,0,0
0,7,54,6,0,0
0,7,23,6,1,0
0,9,59,22,1,0
0,5,54,9,0,0
0,7,32,7,11,0
0,28,114,45,8,0
0,4,23,6,4,0
0,7,49,19,0,0
0,4,20,0,0,0
0,1,17,5,0,0
0,4,15,1,0,0
0,12,45,52,0,0
0,0,1,2,0,0
0,7,64,13,2,0
0,0,6,4,0,0
0,0,5,2,0,0
0,0,5,2,0,0
0,0,11,1,0,0
0,0,5,0,0,0
0,3,41,9,0,0
0,0,10,3,0,0
0,2,10,1,0,0
0,5,40,6,0,0
0,0,19,0,0,0
0,5,64,5,0,0
0,0,10,1,0,0
0,0,1,0,0,0
0,0,10,0,4,0
0,18,142,31,5,0
0,3,32,11,0,0
0,13,62,16,9,0
0,0,8,1,0,0
0,0,0,1,0,0
0,1,10,7,0,0
0,10,52,19,0,0
