I,R,C,W,E,F
0,0,7,4,0,0
0,0,3,0,0,0
0,0,2,1,0,0
0,0,16,7,0,0
0,1,4,1,0,0
0,0,10,7,0,0
0,0,2,2,0,0
0,2,11,1,2,0
0,0,6,1,0,0
0,0,3,0,0,0
0,0,3,0,0,0
0,0,5,0,0,0
0,0,5,0,0,0
0,1,7,0,3,0
0,0,3,0,1,0
0,0,36,1,3,0
0,11,100,26,1,0
0,0,24,0,0,0
0,4,66,5,5,0
0,1,6,1,1,0
0,10,83,8,3,0
0,12,131,3,4,0
0,26,113,7,5,0
0,0,7,1,1,0
0,0,36,4,2,0
0,0,11,2,1,0
0,7,158,7,6,0
0,0,6,0,1,0
0,4,14,4,2,0
0,6,23,2,2,0
0,0,15,0,1,0
0,8,29,11,2,0
0,3,13,6,1,0
0,3,22,2,3,0
0,26,57,10,8,0
0,26,69,27,1,0
0,0,47,2,0,0
0,0,1,0,0,0
0,0,1,0,0,0
0,1,3,4,0,0
0,0,1,0,0,0
0,0,29,9,1,0
0,3,5,2,1,0
0,0,24,31,1,0
0,4,69,711,0,0
0,1,44,5,0,0
0,0,17,18,0,0
0,1,5,1,0,0
0,0,4,0,0,0
0,2,18,2,0,0
0,5,22,6,3,0
0,0,10,1,0,0
0,7,67,12,2,0
0,25,190,24,9,0
0,0,6,0,0,0
0,0,11,2,4,0
0,0,1,0,0,0
0,2,20,5,1,0
0,2,8,3,2,0
0,5,41,7,3,0
0,1,19,2,3,0
0,0,6,0,0,0
0,2,7,0,0,0
0,1,4,2,0,0
0,0,2,0,0,0
0,5,61,1,4,0
0,1,4,3,2,0
0,3,50,14,7,0
0,3,4,2,2,0
0,0,6,1,4,0
0,2,19,6,2,0
0,0,1,0,0,0
0,8,14,0,4,0
0,0,1,0,0,0
0,0,3,0,0,0
0,0,2,0,0,0
0,0,3,0,2,0
0,0,3,0,0,0
0,4,6,0,1,0
0,0,17,1,5,0
0,0,1,0,0,0
0,0,1,0,0,0
0,0,8,0,0,0
0,1,6,1,2,0
0,0,9,0,0,0
0,2,7,0,0,0
0,0,2,1,0,0
0,8,11,5,3,0
0,3,29,0,0,0
0,0,1,0,0,0
0,2,12,2,2,0
0,3,53,13,3,0
0,0,2,0,1,0
0,2,23,2,0,0
0,0,2,0,1,0
0,0,2,1,0,0
0,0,3,1,0,0
0,0,3,0,0,0
0,0,4,1,0,0
0,0,5,1,1,0
0,0,2,1,1,0
0,0,3,2,0,0
0,15,13,1,0,0
0,0,2,2,0,0
0,0,1,1,0,0
0,0,4,2,0,0
0,0,0,9,0,0
0,0,0,0,1,0
0,0,8,9,3,0
0,0,20,0,0,0
0,1,25,6,2,0
0,0,5,0,0,0
0,4,13,3,0,0
0,2,5,1,0,0
0,2,13,4,0,0
0,15,69,4,4,0
0,2,5,1,1,0
0,1,7,2,1,0
0,6,77,3,4,0
0,0,9,1,0,0
0,4,78,5,1,0
0,72,338,78,4,0
0,0,6,0,0,0
0,0,8,1,0,0
0,2,9,1,0,0
0,4,19,2,4,0
0,8,51,10,6,0
0,1,36,0,1,0
0,3,169,6,9,0
0,1,23,1,0,0
0,0,7,2,0,0
0,2,53,4,4,0
0,2,13,2,1,0
0,0,3,1,0,0
0,0,4,2,1,0
