I,R,C,W,E,F
0,3,14,0,1,0
0,2,3,0,0,0
0,0,4,0,0,0
0,0,9,0,0,0
0,3,11,0,0,0
0,0,9,1,0,0
0,0,3,1,0,0
0,1,11,0,0,0
0,0,8,0,0,0
0,1,40,0,0,0
0,1,35,0,0,0
0,8,47,0,0,0
0,3,16,0,0,0
0,0,11,1,0,0
0,1,21,0,0,0
0,0,11,0,0,0
0,0,3,1,0,0
0,0,5,1,0,0
0,0,5,0,0,0
0,0,7,2,0,0
0,0,2,1,0,0
0,0,2,0,0,0
0,0,5,2,0,0
0,0,5,0,0,0
0,0,2,2,0,0
0,0,5,0,0,0
0,0,5,0,0,0
0,0,2,2,0,0
0,0,2,1,0,0
0,0,5,0,0,0
0,0,5,0,0,0
0,1,3,2,2,0
0,0,1,0,0,0
0,2,26,5,3,0
0,0,8,0,0,0
0,0,5,0,0,0
0,0,18,0,1,0
0,0,7,0,0,0
0,0,4,0,0,0
0,0,7,1,0,0
0,0,2,0,0,0
0,0,2,0,0,0
0,0,10,0,0,0
0,0,9,0,0,0
0,0,8,0,0,0
0,35,11,0,1,0
0,0,1,0,0,0
0,0,7,0,0,0
0,0,1,0,0,0
