I,R,C,W,E,F
0,0,25,3,1,0
0,0,26,3,0,0
0,0,7,1,2,0
0,1,4,2,2,0
0,0,10,0,4,0
0,0,6,1,0,0
0,3,14,3,3,0
0,0,33,17,5,0
0,45,88,27,1,0
0,1,2,4,1,0
0,0,4,3,0,0
0,0,2,19,1,0
0,0,7,2,1,0
0,3,8,2,2,0
0,0,2,0,0,0
0,3,9,0,1,0
0,2,5,1,2,0
0,1,2,1,0,0
0,1,9,2,18,0
0,0,1,0,0,0
0,5,9,1,1,0
0,2,4,0,0,0
0,3,9,0,0,0
0,1,9,4,0,0
0,2,13,5,0,0
0,1,5,0,0,0
0,0,4,0,0,0
0,5,16,12,0,0
0,1,5,2,0,0
0,2,7,2,0,0
0,2,13,3,0,0
0,2,7,1,0,0
0,0,3,1,0,0
0,0,10,4,0,0
0,5,8,2,0,0
0,0,8,3,0,0
0,0,8,9,0,0
0,1,8,2,0,0
0,2,6,0,0,0
0,1,7,2,0,0
0,1,10,2,0,0
0,1,10,2,0,0
0,1,10,2,0,0
0,1,4,1,0,0
0,1,6,2,0,0
0,0,6,1,8,0
0,0,4,1,1,0
0,1,9,1,2,0
0,2,25,0,2,0
0,39,225,148,3,0
0,55,368,191,11,0
0,3,24,5,4,0
0,6,45,23,4,0
0,3,26,12,2,0
0,4,41,24,3,0
0,1,9,5,2,0
0,9,45,19,2,0
0,2,44,27,4,0
0,54,362,201,3,0
0,79,610,309,3,0
0,27,143,94,38,0
0,2,19,15,3,0
0,4,87,45,5,0
0,11,177,42,4,0
0,1,6,2,0,0
0,0,6,1,3,0
0,27,144,90,12,0
0,1,47,16,3,0
0,0,18,1,4,0
0,0,14,0,0,0
0,5,170,14,4,0
0,1,55,6,3,0
0,4,31,24,5,0
0,2,8,0,0,0
0,2,39,2,0,0
0,0,5,0,0,0
0,1,8,2,4,0
0,0,21,1,0,0
