I,R,C,W,E,F
0,0,4,0,0,0
0,2,13,3,0,0
0,0,1,0,0,0
0,0,1,0,0,0
0,0,4,0,0,0
0,0,4,0,0,0
0,0,4,0,0,0
0,0,4,1,0,0
0,0,5,1,0,0
0,0,5,1,0,0
0,0,5,1,0,0
0,3,9,2,0,0
0,0,9,1,0,0
0,0,8,2,0,0
0,1,7,1,0,0
0,3,16,9,1,0
0,0,302,0,0,0
0,1,31,5,0,0
0,1,12,5,0,0
0,0,11,1,0,0
0,0,21,0,1,0
0,5,23,18,0,0
0,2,7,3,0,0
0,0,9,5,0,0
0,0,5,0,0,0
0,1,11,1,0,0
0,2,13,1,0,0
0,6,20,1,0,0
0,3,11,1,2,0
0,0,14,15,0,0
0,5,17,4,0,0
0,0,2,3,0,0
0,0,7,0,0,0
0,4,16,6,0,0
0,9,44,5,0,0
0,0,3,4,0,0
0,0,4,5,0,0
0,0,2,3,0,0
0,0,2,3,0,0
0,0,2,3,0,0
0,7,16,4,0,0
0,0,3,0,0,0
0,0,8,0,0,0
0,0,3,3,3,0
0,3,23,3,1,0
0,19,194,34,0,0
0,0,7,0,0,0
0,0,9,1,0,0
0,12,67,40,2,0
0,0,22,2,0,0
0,0,2,0,0,0
0,0,1,0,0,0
0,0,8,0,0,0
0,1,8,5,0,0
0,2,5,8,1,0
0,6,35,10,12,0
0,0,9,0,0,0
0,4,21,9,0,0
0,8,29,5,0,0
0,6,531,121,0,0
0,5,49,29,1,0
0,7,65,23,2,0
0,10,200,23,0,0
0,1,41,0,0,0
0,3,9,6,0,0
0,35,57,202,0,0
0,0,16,1,0,0
0,20,151,15,0,0
0,1,53,5,6,0
0,13,124,20,0,0
0,0,23,2,0,0
0,2,8,2,0,0
0,0,6,0,0,0
0,0,3,0,0,0
0,3,19,13,1,0
0,0,14,1,0,0
0,0,13,3,1,0
0,0,12,4,0,0
0,0,12,4,0,0
0,0,3,0,0,0
0,6,40,4,0,0
0,1,9,4,0,0
0,0,12,4,0,0
0,0,20,0,0,0
0,22,97,22,0,0
0,0,4,0,0,0
0,1,7,6,2,0
0,0,6,0,0,0
0,2,13,9,0,0
0,3,97,11,1,0
0,0,6,3,0,0
0,0,3,0,1,0
0,0,8,0,0,0
0,0,14,0,0,0
0,0,11,0,0,0
0,0,10,0,0,0
0,0,6,0,0,0
0,0,6,0,0,0
0,0,6,0,0,0
0,0,7,0,0,0
0,1,15,5,0,0
0,0,26,11,0,0
0,0,11,6,6,0
0,0,12,9,6,0
0,0,12,2,0,0
0,0,7,2,0,0
0,0,0,0,1,0
0,0,2,5,1,0
0,0,3,0,0,0
0,2,27,3,0,0
0,0,4,0,0,0
0,0,6,1,0,0
0,2,22,11,0,0
0,0,8,5,0,0
0,0,11,0,0,0
0,2,33,8,0,0
0,0,8,0,0,0
0,0,8,0,0,0
0,1,6,3,0,0
0,0,8,5,0,0
0,0,3,0,0,0
0,1,22,3,0,0
0,0,6,0,0,0
0,0,49,41,0,0
0,0,15,8,0,0
0,0,7,2,0,0
0,0,9,9,0,0
0,0,7,0,0,0
0,0,6,0,0,0
0,0,14,2,0,0
0,0,9,0,0,0
0,0,58,6,0,0
0,0,5,0,0,0
0,0,18,1,0,0
0,0,4,4,0,0
0,0,5,4,0,0
0,0,4,3,0,0
0,2,6,2,0,0
0,0,25,10,0,0
0,1,27,6,0,0
0,0,6,6,0,0
0,0,7,1,0,0
0,0,9,10,0,0
0,0,3,3,0,0
0,1,9,5,0,0
0,1,3,3,0,0
0,0,10,5,0,0
0,0,4,3,0,0
0,0,0,0,1,0
0,2,24,5,6,0
0,3,19,5,11,0
0,5,146,83,18,0
0,1,99,30,26,0
0,0,12,4,0,0
0,2,14,8,2,0
0,5,23,25,5,0
0,0,11,0,0,0
0,0,3,0,0,0
0,1,14,6,4,0
0,1,19,6,0,0
0,0,2,0,0,0
0,0,7,7,0,0
0,0,6,2,0,0
0,0,3,0,0,0
0,0,13,6,0,0
0,1,13,1,0,0
0,2,42,17,0,0
0,1,59,11,1,0
0,5,115,139,3,0
0,0,9,5,0,0
0,0,8,4,3,0
0,1,19,10,6,0
0,0,7,3,0,0
0,0,7,2,1,0
0,0,19,1,0,0
0,0,10,11,2,0
0,0,27,21,0,0
0,0,8,9,0,0
0,1,28,19,4,0
0,0,19,2,15,0
0,0,4,3,1,0
0,0,10,10,7,0
0,0,4,2,0,0
0,1,19,7,3,0
0,0,5,4,0,0
0,0,9,13,1,0
0,1,38,35,1,0
0,2,41,15,0,0
0,0,11,2,0,0
0,1,16,0,0,0
0,1,15,0,0,0
0,0,17,0,0,0
0,6,78,23,6,0
0,1,15,3,0,0
