I,R,C,W,E,F
0,0,1,0,0,0
0,1,23,5,2,0
0,14,60,37,1,0
0,0,66,20,2,0
0,0,31,16,0,0
0,1,51,32,4,0
0,0,3,4,0,0
0,1,42,16,0,0
0,1,26,40,0,0
0,1,15,19,0,0
0,3,23,7,10,0
0,0,25,12,0,0
0,200,29,40,0,0
0,5,54,32,0,0
0,1,21,0,2,0
0,0,0,0,1,0
0,1,29,3,0,0
0,0,10,3,1,0
0,0,7,1,0,0
0,2,165,9,3,0
0,0,24,1,0,0
0,0,4,16,7,0
0,0,5,1,2,0
0,0,1,0,0,0
0,0,8,0,0,0
0,5,20,3,2,0
0,20,70,39,0,0
0,0,9,0,0,0
0,3,14,0,0,0
0,2,19,2,0,0
0,0,6,25,1,0
0,0,1,0,0,0
0,0,1,0,0,0
0,0,2,0,0,0
0,3,0,2,1,0
0,0,0,5,0,0
0,4,7,6,0,0
0,2,49,6,6,0
0,0,3,0,0,0
0,0,5,3,0,0
0,0,4,2,2,0
0,0,35,26,2,0
0,0,297,0,0,0
0,12,1,4,3,0
0,2,7,11,0,0
0,16,50,14,3,0
0,4,24,2,23,0
0,1,6,0,0,0
0,0,20,5,0,0
0,46,96,37,16,0
0,0,1,0,0,0
0,9,74,11,0,0
0,1,12,6,0,0
0,1,13,6,0,0
0,11,270,7,1,0
0,0,15,1,1,0
0,0,96,0,0,0
0,0,1,0,2,0
0,7,89,40,3,0
0,14,41,13,0,0
0,16,97,110,8,0
0,8,17,18,3,0
0,5,48,6,5,0
0,0,2,0,0,0
0,7,34,2,0,0
0,4,14,15,9,0
0,3,23,28,79,0
0,10,147,304,73,0
0,3,29,18,5,0
0,1,6,1,2,0
0,15,42,15,0,0
0,9,230,31,0,0
0,3,37,5,0,0
0,7,18,3,1,0
0,0,2,1,1,0
0,5,12,19,6,0
0,5,99,30,0,0
0,44,252,18,8,0
0,71,354,101,81,0
0,19,170,98,0,0
0,9,104,14,5,0
0,69,278,18,10,0
0,21,236,38,19,0
0,3,9,5,1,0
0,0,87,0,2,0
0,27,130,17,3,0
0,16,25,4,8,0
0,11,75,40,15,0
0,7,35,0,0,0
0,72,291,72,37,0
0,6,18,8,1,0
0,8,59,4,25,0
0,2,4,1,0,0
0,19,245,29,9,0
0,1,53,32,1,0
0,398,2315,429,173,0
0,13,868,63,7,0
0,145,843,304,31,0
0,28,94,54,104,0
0,37,70,27,5,0
0,3,41,2,17,0
0,27,131,25,5,0
0,254,690,213,45,0
0,5,6,0,12,0
0,5,26,2,16,0
0,5,25,18,8,0
0,40,206,58,37,0
0,8,62,3,3,0
0,55,191,37,7,0
0,80,441,40,86,0
0,226,875,256,214,0
0,19,155,48,46,0
0,2,79,32,75,0
0,0,2,3,50,0
0,0,1,1,1,0
0,2,23,7,3,0
0,0,6,1,0,0
0,0,5,0,0,0
0,4,67,30,3,0
0,0,5,0,8,0
0,0,8,0,0,0
0,0,4,5,0,0
0,0,3,0,0,0
0,0,7,2,0,0
0,3,16,12,0,0
0,9,17,21,0,0
0,0,4,2,0,0
0,1,4,2,0,0
0,12,63,29,0,0
0,8,45,13,0,0
0,1,32,2,0,0
0,0,2,0,0,0
0,0,3,0,0,0
0,1,15,2,0,0
0,0,6,0,0,0
0,0,7,0,0,0
0,0,7,0,0,0
0,0,7,0,0,0
0,0,1,0,0,0
0,2,40,2,0,0
0,1,29,25,1,0
0,16,223,8,4,0
0,2,31,2,0,0
0,3,18,1,0,0
0,17,72,16,5,0
0,0,46,5,0,0
0,0,17,1,0,0
0,0,11,0,0,0
0,0,13,2,0,0
0,0,4,0,0,0
0,6,38,5,0,0
0,0,4,4,0,0
0,0,19,2,0,0
0,0,15,4,0,0
0,0,5,2,0,0
0,1,19,2,0,0
0,3,8,0,0,0
0,0,4,0,0,0
0,0,4,0,0,0
0,0,7,4,1,0
0,2,6,1,0,0
0,0,6,4,0,0
0,1,37,4,0,0
0,0,1,0,0,0
0,0,4,7,2,0
0,0,13,11,2,0
0,2,7,4,0,0
0,0,16,7,4,0
0,6,50,12,10,0
0,33,272,32,24,0
0,0,2,0,0,0
0,0,2,0,0,0
0,1,41,35,2,0
0,0,4,1,0,0
0,0,3,0,0,0
0,0,3,0,0,0
0,20,370,79,12,0
0,0,64,43,4,0
0,0,5,3,0,0
0,4,22,4,0,0
0,4,13,2,0,0
0,2,7,1,0,0
0,0,4,0,0,0
0,9,16,3,0,0
0,4,22,18,0,0
0,1,32,23,1,0
0,3,8,15,0,0
0,0,2,1,0,0
0,0,1,0,0,0
0,0,1,0,0,0
0,0,3,0,0,0
0,0,20,6,0,0
0,0,2,0,0,0
0,0,2,0,0,0
0,0,2,0,0,0
0,0,25,2,0,0
0,2,8,1,0,0
0,0,1,0,0,0
0,0,4,0,0,0
0,10,166,11,1,0
0,11,96,93,0,0
0,3,61,2,0,0
0,5,67,4,0,0
0,3,30,6,0,0
0,65,673,230,1,0
0,2,4,9,2,0
0,10,67,4,0,0
0,0,7,1,0,0
0,3,39,109,0,0
0,6,35,5,0,0
0,0,1,0,0,0
0,6,201,3,0,0
0,0,3,2,0,0
0,8,94,94,69,0
0,0,9,5,1,0
0,0,5,0,1,0
0,3,32,15,1,0
0,0,5,0,1,0
0,0,5,0,1,0
0,0,3,2,1,0
0,0,4,3,1,0
0,0,29,0,1,0
0,0,3,1,1,0
0,0,5,0,1,0
0,1,11,9,1,0
0,1,9,22,1,0
0,1,8,18,1,0
0,1,8,39,1,0
0,1,11,21,1,0
0,0,6,0,1,0
0,0,15,0,1,0
0,0,3,0,1,0
0,4,32,18,1,0
0,1,15,1,0,0
0,0,3,2,0,0
0,1,49,7,2,0
0,0,14,1,0,0
0,0,1,0,0,0
0,0,4,0,0,0
0,17,61,3,1,0
0,13,41,10,1,0
0,0,5,27,16,0
0,6,13,16,13,0
0,6,9,5,9,0
0,0,3,1,0,0
0,3,6,3,0,0
0,2,10,12,0,0
0,0,2,2,0,0
0,9,45,77,0,0
0,6,31,1,1,0
0,44,209,65,22,0
0,12,58,25,14,0
0,11,30,4,1,0
0,0,3,0,0,0
0,1,4,1,10,0
0,16,55,64,11,0
0,24,76,51,13,0
0,12,86,12,5,0
0,21,47,58,7,0
0,1,20,1,11,0
0,0,3,0,0,0
0,3,42,12,2,0
0,1,5,4,0,0
0,0,108,56,7,0
0,24,11,16,1,0
0,0,8,21,0,0
0,87,835,5,1,0
0,32,233,2,2,0
0,0,6,6,1,0
0,26,76,2,0,0
0,2,123,24,2,0
0,236,1025,119,16,0
0,55,258,56,24,0
0,36,107,16,21,0
0,149,576,69,15,0
0,14,26,8,4,0
0,31,202,104,5,0
0,0,149,1,15,0
0,18,82,18,5,0
0,24,239,17,1,0
0,29,76,24,4,0
0,71,228,26,4,0
0,2,69,26,1,0
0,32,103,6,12,0
0,61,115,50,12,0
0,6,20,5,0,0
0,4,30,8,3,0
0,2,46,12,0,0
0,1,29,4,21,0
0,0,14,0,6,0
0,2,12,1,1,0
0,19,81,20,0,0
0,0,2,4,0,0
0,0,1,0,0,0
0,13,195,36,5,0
0,0,3,2,0,0
0,2,15,4,1,0
0,0,2,0,0,0
0,77,567,145,65,0
0,9,44,13,4,0
0,0,2,14,0,0
0,3,37,39,4,0
0,57,442,271,64,0
0,15,112,21,8,0
0,8,25,45,1,0
0,0,4,1,0,0
0,10,1616,620,39,0
0,4,7,0,0,0
0,72,600,64,23,0
0,0,48,107,2,0
0,25,388,419,6,0
0,12,32,12,0,0
0,0,66,82,2,0
0,4,59,5,2,0
0,2,144,8,28,0
0,0,3,0,2,0
0,0,14,719,7,0
0,0,2,1,1,0
0,6,28,28,2,0
0,0,3,1,0,0
0,36,165,68,0,0
0,3,97,43,2,0
0,10,51,39,2,0
0,2,14,0,2,0
0,2,7,2,0,0
0,2,9,0,0,0
0,4,17,5,1,0
0,0,2,0,0,0
0,5,22,17,21,0
0,14,127,8,6,0
0,12,129,7,4,0
0,12,127,7,4,0
0,12,118,6,4,0
0,12,122,6,4,0
0,13,81,6,2,0
0,4,6,1,0,0
0,0,3,0,0,0
0,38,131,19,9,0
0,3,245,50,2,0
0,31,114,18,4,0
0,31,123,18,4,0
0,30,109,18,5,0
0,31,114,18,4,0
0,27,113,19,5,0
0,7,17,4,0,0
0,12,17,0,0,0
0,0,6,1,50,0
0,0,2,0,0,0
0,0,6,3,0,0
0,34,233,48,278,0
0,13,37,9,30,0
0,0,3,0,0,0
0,0,2,1,1,0
0,1,14,5,3,0
0,12,33,17,7,0
0,6,8,4,3,0
0,2,51,12,0,0
0,20,138,75,9,0
0,0,1,11,0,0
0,0,1,25,0,0
0,0,1,6,1,0
0,1,5,0,0,0
0,0,4,0,0,0
0,4,52,25,4,0
0,0,1,1,1,0
0,39,363,35,36,0
0,0,13,32,2,0
0,16,60,26,8,0
0,0,58,4,0,0
0,0,2,1,0,0
0,0,8,1,2,0
0,0,6,15,1,0
0,0,6,6,1,0
0,0,11,1,4,0
0,0,7,0,0,0
0,0,2,1,0,0
0,13,37,21,4,0
0,5,14,14,6,0
0,9,37,15,11,0
0,1,14,2,3,0
0,0,12,3,0,0
0,0,12,0,1,0
0,6,25,5,2,0
0,1,92,19,2,0
0,0,13,0,0,0
0,0,16,3,2,0
0,0,10,0,0,0
0,1,115,4,1,0
0,0,36,2,1,0
0,0,91,5,1,0
0,0,64,4,1,0
0,1,90,16,1,0
0,1,99,16,1,0
0,1,114,16,1,0
0,1,95,14,1,0
0,5,114,30,3,0
