I,R,C,W,E,F
0,4,28,2,4,0
0,4,9,6,0,0
0,0,13,3,0,0
0,0,1,0,0,0
0,2,18,1,0,0
0,2,9,1,0,0
0,2,27,3,0,0
0,0,3,0,0,0
0,2,11,1,0,0
0,2,6,0,0,0
0,0,8,2,0,0
0,0,3,1,0,0
0,3,13,0,0,0
0,0,21,10,6,0
0,1,6,1,0,0
0,0,0,1,0,0
0,0,8,3,1,0
0,0,0,1,0,0
0,0,1,3,0,0
0,5,16,3,0,0
0,0,3,3,0,0
0,0,5,3,0,0
0,0,8,5,0,0
0,1,11,2,0,0
0,0,8,3,1,0
0,0,31,7,0,0
0,1,6,0,0,0
0,0,6,0,0,0
0,1,7,0,0,0
0,2,17,1,0,0
0,1,23,0,0,0
0,0,8,0,0,0
0,0,7,1,0,0
0,1,15,0,0,0
0,0,11,2,0,0
0,0,5,1,0,0
0,1,3,0,0,0
0,4,3,9,0,0
0,5,11,8,0,0
0,1,4,4,0,0
0,0,38,1,0,0
0,0,10,1,0,0
0,0,52,11,1,0
0,0,23,2,1,0
0,4,150,210,1,0
0,0,50,12,1,0
0,0,41,7,1,0
0,0,72,14,0,0
0,0,11,0,0,0
0,0,23,24,0,0
0,0,17,16,0,0
0,0,24,9,0,0
0,0,5,0,4,0
0,0,31,0,8,0
0,0,7,0,3,0
0,0,5,0,1,0
0,0,10,10,5,0
0,3,24,6,0,0
0,4,25,5,1,0
0,2,33,3,1,0
0,1,115,2,3,0
0,1,22,4,1,0
0,5,36,8,1,0
0,0,22,0,1,0
0,3,42,3,1,0
0,0,5,0,0,0
0,1,21,2,1,0
0,0,12,2,1,0
0,0,11,1,1,0
0,0,28,9,1,0
0,1,21,3,1,0
0,0,24,33,4,0
0,0,23,0,0,0
0,0,71,24,3,0
0,0,6,14,0,0
0,0,15,0,0,0
0,35,54,1,0,0
0,0,4,2,1,0
0,0,2,0,0,0
