I,R,C,W,E,F
0,0,1,0,1,0
0,0,3,0,0,0
0,0,1,0,0,0
0,0,1,0,0,0
0,0,1,0,0,0
0,0,4532,0,0,0
0,0,3,0,0,0
0,7,14,1,1,0
0,0,4,1,0,0
0,1,9,0,0,0
0,0,8,0,0,0
0,0,6,0,0,0
0,0,3,0,0,0
0,6,1,0,0,0
0,1,4,1,0,0
0,0,1277,0,0,0
0,0,7,0,0,0
0,0,1503,0,0,0
0,0,3,0,0,0
0,0,4532,0,0,0
0,0,3,0,0,0
0,0,2924,0,0,0
0,0,3,0,0,0
0,0,11,1,0,0
0,0,3523,0,0,0
0,2,6985,1,0,0
0,0,4460,0,0,0
0,0,5282,0,0,0
0,0,4458,0,0,0
0,0,4276,0,0,0
0,0,4481,0,0,0
0,0,4279,0,0,0
0,0,4279,0,0,0
0,0,64,1,0,0
0,0,4,1,0,0
0,0,3,0,0,0
0,0,2867,0,0,0
0,3,9,4,0,0
0,0,3,1,0,0
0,0,5,0,0,0
0,3,2,3,0,0
0,1,5,1,0,0
0,0,1,0,0,0
0,0,1,0,0,0
0,1,3,0,0,0
0,1,5,17,3,0
0,0,17,5,1,0
0,2,12,21,4,0
0,0,1,3,0,0
0,0,10,5,0,0
0,0,8,36,0,0
0,7,51,3,0,0
0,0,5,0,0,0
0,0,2,0,0,0
0,0,2,0,0,0
0,0,7262,0,0,0
0,0,12,1,0,0
0,2,8,4,0,0
0,5,11,2,0,0
0,9,9,8,0,0
0,0,11,0,0,0
0,1,1,2,1,0
0,0,1,3,5,0
0,0,11,1,0,0
0,0,18,2,0,0
0,0,17,1,0,0
0,0,1,0,0,0
0,0,0,1,0,0
0,8,9,6,0,0
0,0,12,0,0,0
0,4,18,9,0,0
0,0,1,0,1,0
0,0,20,26,6,0
0,5,25,5,0,0
0,10,0,0,0,0
0,0,0,0,5,0
0,0,1,1,0,0
0,11,48,9,8,0
0,0,1,0,0,0
0,8,18,7,5,0
0,0,3,0,0,0
0,0,1,0,0,0
0,7,29,7,3,0
0,15,145,44,8,0
0,0,2,0,0,0
0,0,7,2,1,0
0,4,21,12,4,0
0,11,15,8,2,0
0,0,1,0,0,0
0,0,1,0,0,0
0,2,33,0,0,0
0,0,1,2,0,0
0,5,17,3,2,0
0,1,5,1,3,0
0,2,40,13,7,0
0,6,34,14,4,0
0,1,6,1,0,0
0,0,1,4,2,0
0,1,1,0,0,0
0,0,2,0,0,0
0,0,1,0,0,0
0,0,1,0,0,0
0,1,0,1,1,0
0,0,3,2,1,0
0,16,144,43,8,0
0,0,1,0,0,0
0,1,8,1,1,0
0,1,10,1,2,0
0,4,2,7,4,0
0,9,26,13,1,0
0,0,1,0,0,0
0,1,4,4,1,0
0,1,1,0,0,0
0,0,1,2,1,0
0,6,5,0,0,0
0,2,28,6,16,0
0,3,14,1,1,0
0,0,3,0,0,0
0,2,5,0,0,0
0,0,1,0,0,0
0,0,1,0,0,0
0,3,43,2,0,0
0,2,16,4,0,0
0,0,2,0,0,0
0,2,9,3,0,0
0,0,3,3,0,0
0,0,4,3,0,0
0,0,1,0,0,0
0,0,3,0,0,0
0,3,46,3,2,0
0,1,44,1,2,0
0,0,7,0,0,0
0,0,6,0,2,0
0,0,1,0,0,0
0,0,2,0,0,0
0,0,19,0,1,0
0,0,12,4,0,0
0,23,75,17,5,0
0,1886,9,1,0,0
0,0,1,0,0,0
0,0,1,0,0,0
0,18,193,1,0,0
0,2,68,19,0,0
0,0,2,0,0,0
0,0,5,3,0,0
0,1,8,3,0,0
0,0,5,3,0,0
0,0,3,3,0,0
0,1,3,3,0,0
0,0,3,3,0,0
0,1,10,3,0,0
0,0,3,3,0,0
0,0,6,3,0,0
0,1,3,3,0,0
0,0,3,3,0,0
0,0,3,3,0,0
0,1,9,3,0,0
0,0,7,3,0,0
0,1,6,4,0,0
0,0,3,3,0,0
0,1,6,4,0,0
0,0,3,3,0,0
0,0,3,3,0,0
0,1,11,3,0,0
0,0,5,3,0,0
0,0,3,3,0,0
0,0,5,2,0,0
0,1,11,3,0,0
0,0,1,0,0,0
0,0,2,0,0,0
0,37,511,1,0,0
0,7,213,58,0,0
0,33,505,1,0,0
0,5,202,58,0,0
0,8,220,1,0,0
0,1,77,22,0,0
0,0,2,0,0,0
0,0,23,0,0,0
0,1,3,3,0,0
0,1,24,2,0,0
0,1,15,3,0,0
0,0,10,3,0,0
0,0,3,3,0,0
0,1,5,3,0,0
0,1,8,3,0,0
0,0,5,3,0,0
0,1,6,3,0,0
0,0,10,3,0,0
0,0,5,3,0,0
0,1,6,5,0,0
0,1,16,3,0,0
0,1,8,3,0,0
0,1,17,4,0,0
0,0,5,3,0,0
0,1,4,5,0,0
0,0,11,4,0,0
0,0,9,4,0,0
0,0,6,3,0,0
0,0,7,3,0,0
0,0,3,3,0,0
0,0,6,3,0,0
0,0,4,3,0,0
0,0,7,3,0,0
0,1,8,3,0,0
0,0,3,3,0,0
0,1,8,4,0,0
0,1,13,3,0,0
0,0,6,3,0,0
0,1,5,3,0,0
0,0,5,3,0,0
0,1,19,3,0,0
0,0,4,3,0,0
0,1,5,3,0,0
0,0,7,3,0,0
0,0,5,3,0,0
0,1,14,2,0,0
0,0,9,3,0,0
0,0,8,3,0,0
0,1,7,3,0,0
0,0,12,3,0,0
0,1,5,3,0,0
0,1,5,3,0,0
0,1,11,3,0,0
0,1,3,3,0,0
0,1,3,3,0,0
0,1,3,2,0,0
0,0,6,3,0,0
0,1,5,3,0,0
0,1,7,3,0,0
0,1,5,3,0,0
0,1,7,3,0,0
0,1,5,3,0,0
0,1,11,3,0,0
0,0,5,3,0,0
0,1,5,3,0,0
0,0,3,3,0,0
0,0,6,3,0,0
0,1,9,3,0,0
0,1,10,3,0,0
0,1,6,3,0,0
0,1,12,3,0,0
0,0,11,3,0,0
0,0,3,3,0,0
0,0,8,3,0,0
0,0,4,3,0,0
0,0,5,2,0,0
0,0,5,3,0,0
0,0,8,2,0,0
0,1,4,5,0,0
0,1,10,3,0,0
0,0,6,3,0,0
0,1,10,3,0,0
0,1,8,3,0,0
0,1,15,2,0,0
0,1,6,4,0,0
0,0,10,3,0,0
0,0,12,3,0,0
0,1,26,4,0,0
0,0,3,3,0,0
0,0,4,3,0,0
0,1,8,3,0,0
0,0,5,4,0,0
0,1,23,3,0,0
0,1,4,3,0,0
0,0,11,3,0,0
0,0,9,3,0,0
0,1,15,2,0,0
0,1,39,3,0,0
0,1,6,4,0,0
0,0,10,3,0,0
0,1,9,5,0,0
0,0,8,3,0,0
0,1,12,3,0,0
0,1,18,3,0,0
0,1,5,4,0,0
0,1,5,4,0,0
0,0,11,3,0,0
0,0,10,3,0,0
0,0,10,3,0,0
0,1,42,3,0,0
0,0,10,3,0,0
0,0,6,4,0,0
0,1,5,5,0,0
0,0,12,4,0,0
0,0,11,4,0,0
0,1,15,3,0,0
0,0,3,3,0,0
0,1,9,3,0,0
0,0,9,3,0,0
0,0,8,3,0,0
0,1,10,3,0,0
0,1,4,4,0,0
0,0,8,3,0,0
0,0,10,3,0,0
0,1,6,4,0,0
0,1,10,3,0,0
0,1,10,3,0,0
0,0,6,4,0,0
0,0,6,4,0,0
0,1,32,3,0,0
0,0,25,2,0,0
0,1,5,2,0,0
0,1,15,3,0,0
0,1,8,3,0,0
0,1,13,3,0,0
0,0,4,3,0,0
0,0,3,5,0,0
0,1,8,4,0,0
0,1,12,3,0,0
0,1,14,3,0,0
0,0,5,2,0,0
0,1,10,3,0,0
0,1,11,3,0,0
0,0,6,4,0,0
0,1,10,3,0,0
0,0,3,3,0,0
0,0,3,3,0,0
0,0,3,3,0,0
0,1,10,3,0,0
0,0,3,3,0,0
0,0,3,3,0,0
0,0,5,2,0,0
0,0,3,3,0,0
0,0,3,3,0,0
0,0,3,3,0,0
0,0,9,3,0,0
0,0,3,3,0,0
0,0,3,3,0,0
0,0,5,3,0,0
0,0,3,3,0,0
0,0,3,3,0,0
0,0,3,3,0,0
0,0,3,3,0,0
