I,R,C,W,E,F
0,0,32,3,4,0
0,0,1,0,0,0
0,0,4,0,0,0
0,0,4,1,1,0
0,0,1,0,0,0
0,3,5,1,3,0
0,0,6,0,3,0
0,0,4,0,0,0
0,0,6,0,2,0
0,0,2,0,0,0
0,0,2,1,1,0
0,0,4,1,0,0
0,0,3,0,0,0
0,0,4,0,0,0
0,0,4,0,1,0
0,0,4,0,1,0
0,1,11,0,2,0
0,0,1,0,0,0
0,3,2,1,0,0
0,0,2,0,0,0
0,4,2,0,1,0
0,0,1,0,0,0
0,5,12,10,2,0
0,7,10,1,1,0
0,8,12,3,3,0
0,1,9,2,1,0
0,0,1,0,1,0
0,2,11,2,3,0
0,0,1,0,4,0
0,4,28,3,3,0
0,15,9,7,1,0
0,1,8,0,1,0
0,2,14,3,1,0
0,0,1,0,0,0
0,3,7,1,4,0
0,0,13,0,1,0
0,0,3,0,1,0
0,0,1,0,0,0
0,0,1,0,0,0
0,0,6,0,2,0
0,1,7,0,2,0
0,3,6,0,2,0
0,1,6,1,4,0
0,1,3,1,2,0
0,4,8,3,4,0
0,3,13,5,4,0
0,0,7,0,1,0
0,0,10,0,2,0
0,0,5,0,4,0
0,0,6,1,4,0
0,3,17,0,1,0
0,2,5,1,0,0
