I,R,C,W,E,F
0,0,46,1,1,0
0,0,1,0,1,0
0,0,1,0,0,0
0,7,24,14,3,0
0,0,21,4,1,0
0,9,68,35,1,0
0,0,0,2,0,0
0,2,10,3,3,0
0,1,16,17,1,0
0,0,14,6,1,0
0,0,17,11,8,0
0,3,28,8,1,0
0,0,7,11,0,0
0,0,12,7,1,0
0,1,9,7,2,0
0,0,18,9,2,0
0,0,11,4,0,0
0,0,10,4,0,0
0,0,24,5,0,0
0,7,39,10,4,0
0,1,50,10,0,0
0,0,1,0,0,0
0,0,26,0,0,0
0,1,51,6,0,0
0,0,4,2,0,0
0,5,19,5,3,0
0,0,40,39,0,0
0,0,166,127,29,0
0,5,173,12,0,0
0,0,19,13,2,0
0,0,137,32,0,0
0,2,34,44,0,0
0,0,7,7,0,0
0,5,82,67,7,0
0,2,18,5,0,0
0,0,22,3,0,0
0,1,223,5,0,0
0,0,29,3,2,0
0,1,30,21,11,0
0,0,251,8,0,0
0,0,14,4,1,0
0,0,2,2,1,0
0,13,20,0,0,0
