I,R,C,W,E,F
0,9,91,553,20,0
0,0,20,1,0,0
0,1,18,174,0,0
0,100,463,365,9,0
0,5,16,191,6,0
0,1,5,207,0,0
0,0,1,188,0,0
0,11,26,177,6,0
0,15,40,190,1,0
0,1,7,176,0,0
0,13,6,170,2,0
0,15,36,187,0,0
0,3,19,4,3,0
0,3,13,204,2,0
0,0,9,0,0,0
0,3,23,176,0,0
0,13,32,189,4,0
0,2,18,7,8,0
0,3,46,177,5,0
0,0,1,180,0,0
0,13,42,180,1,0
0,4,7,176,7,0
0,0,15,2,0,0
0,1,2,177,1,0
0,22,119,196,0,0
0,10,102,15,0,0
0,8,38,13,2,0
0,1,14,5,0,0
0,1,20,193,0,0
0,3,36,195,2,0
0,1,5,175,3,0
0,0,4,0,0,0
0,3,41,5,38,0
0,0,14,1,0,0
0,0,0,67,22,0
