I,R,C,W,E,F
0,0,1,0,0,0
0,0,1,0,0,0
0,2,34,9,25,0
0,0,4,0,3,0
0,2,26,4,18,0
0,4,4,3,9,0
0,3,19,7,21,0
0,0,4,0,0,0
0,1,8,1,6,0
0,1,8,1,6,0
0,0,2,1,1,0
0,2,6,0,9,0
0,1,7,2,7,0
0,2,7,9,8,0
0,0,7,3,6,0
0,2,10,3,14,0
0,1,4,0,5,0
0,2,4,7,8,0
0,7,11,16,11,0
0,5,14,1,18,0
0,4,5,11,5,0
0,0,5,0,4,0
0,1,3,0,6,0
0,3,16,3,10,0
0,2,16,1,9,0
0,8,20,2,13,0
0,0,0,0,1,0
0,0,2,0,0,0
0,0,6,2,15,0
0,3,2,0,3,0
0,1,3,1,4,0
0,1,12,1,14,0
0,2,11,2,20,0
0,2,3,0,2,0
0,0,30,0,19,0
0,1,3,0,3,0
0,0,4,0,1,0
0,1,19,2,14,0
0,0,60,18,24,0
0,0,4,0,2,0
0,0,6,2,12,0
0,0,8,4,6,0
0,1,7,0,7,0
0,0,4,0,2,0
0,12,60,33,61,0
0,0,10,0,2,0
0,9,2,0,0,0
