I,R,C,W,E,F
0,0,24,3,0,0
0,0,1,0,0,0
0,0,1,0,0,0
0,0,1,1,2,0
0,5,10,0,23,0
0,2,3,0,12,0
0,3,5,0,17,0
0,1,2,0,7,0
0,1,2,2,2,0
0,0,7,1,3,0
0,0,7,1,0,0
0,1,20,0,14,0
0,2,6,0,5,0
0,2,2,0,7,0
0,2,7,0,10,0
0,1,7,3,8,0
0,6,25,6,13,0
0,0,0,0,1,0
0,9,1,0,1,0
0,19,36,12,33,0
0,0,0,0,1,0
0,1,14,7,14,0
0,1,6,5,9,0
0,6,54,6,19,0
0,0,2,3,1,0
0,14,33,47,14,0
0,7,31,17,54,0
0,3,13,1,18,0
0,0,11,0,2,0
0,3,15,10,33,0
0,0,1,1,0,0
0,5,19,3,30,0
0,1,2,1,5,0
0,0,2,0,0,0
0,0,10,1,13,0
0,0,8,1,13,0
0,1,8,2,14,0
0,0,7,1,13,0
0,0,52,3,33,0
3,1,11,1,9,0
0,1,29,6,9,0
0,0,15,0,18,0
0,0,13,1,18,0
0,0,22,0,19,0
0,0,24,0,15,0
0,0,19,1,18,0
0,1,29,2,14,0
0,0,33,0,22,0
0,0,0,0,1,0
0,0,18,1,14,0
0,6,54,1,26,0
0,2,63,19,14,0
0,0,18,2,22,0
0,0,4,0,5,0
0,0,8,0,5,0
0,0,11,0,6,0
0,1,15,1,10,0
0,2,5,0,7,0
0,2,3,10,5,0
0,0,1,0,0,0
0,30,8,0,0,0
