I,R,C,W,E,F
0,0,18,3,0,0
0,0,1,0,0,0
0,0,1,0,0,0
0,0,1,0,1,0
0,2,4,0,21,0
0,2,3,2,13,0
0,17,36,2,35,0
0,3,11,3,19,0
0,3,5,0,13,0
0,6,11,6,13,0
0,5,11,3,8,0
0,1,1,1,7,0
0,2,3,0,11,0
0,4,17,18,9,0
0,0,0,0,1,0
0,1,0,2,0,0
0,0,0,0,1,0
0,5,0,0,1,0
0,11,4,0,12,0
0,0,1,2,1,0
0,1,9,3,21,0
0,1,41,0,23,0
0,1,50,0,30,0
0,0,0,0,1,0
0,0,27,0,16,0
0,0,23,1,12,0
0,3,63,4,53,0
0,1,17,8,14,0
0,0,7,0,3,0
0,0,17,0,14,0
0,2,11,0,9,0
0,0,30,6,29,0
0,0,4,0,5,0
0,0,19,5,16,0
0,0,10,4,7,0
0,0,4,1,3,0
0,0,2,6,2,0
0,5,5,0,0,0
