I,R,C,W,E,F
0,0,9,1,0,0
0,0,1,0,0,0
0,22,0,0,0,0
0,0,1,0,0,0
0,0,4,0,2,0
0,14,31,7,41,0
0,2,3,0,5,0
0,1,2,0,3,0
0,3,11,0,8,0
0,3,11,0,8,0
0,0,2,1,5,0
0,3,49,3,10,0
0,0,7,0,15,0
0,1,2,0,5,0
0,2,3,1,2,0
0,1,2,1,5,0
0,0,1,0,0,0
0,6,36,2,44,0
0,2,1,0,4,0
0,0,1,0,4,0
0,0,1,0,0,0
0,4,13,8,22,0
0,7,27,8,33,0
0,2,1,0,2,0
0,0,2,0,0,0
0,10,23,14,23,0
0,6,15,0,21,0
0,5,10,4,25,0
0,3,7,6,4,0
0,2,31,3,20,0
0,0,7,1,5,0
0,2,10,0,7,0
0,2,67,7,25,0
0,0,7,0,1,0
0,1,40,38,26,0
0,0,18,1,1,0
0,0,8,0,1,0
0,0,8,0,1,0
0,3,23,4,7,0
0,1,50,0,23,0
0,1,38,0,31,0
0,1,30,0,24,0
0,0,7,9,9,0
0,0,2,1,4,0
0,0,3,0,0,0
