I,R,C,W,E,F
0,0,28,2,0,0
9,6,73,14,11,0
0,0,4,3,0,0
0,0,3,0,0,0
0,0,5,11,1,0
0,0,84,9,3,0
0,0,3,1,3,0
0,0,1,0,4,0
0,0,1,0,0,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,1,0,0,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,1,0,0,0
0,0,0,21,0,0
0,0,2,0,0,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,3,0,1,0
0,3,11,3,2,0
0,7,39,5,4,0
0,0,2,1,1,0
0,2,6,0,2,0
0,3,7,0,1,0
0,11,105,11,9,0
0,11,12,0,2,0
0,0,0,0,1,0
0,0,3,0,0,0
0,1,70,0,4,0
0,0,28,1,6,0
0,0,0,0,1,0
0,0,0,0,1,0
0,2,3,0,1,0
0,1,33,42,2,0
0,0,1,15,0,0
0,0,0,0,1,0
0,3,128,108,4,0
0,0,1,0,0,0
0,1,19,2,2,0
0,0,0,0,1,0
0,0,0,0,1,0
0,2,0,0,1,0
