I,R,C,W,E,F
0,0,2,0,0,0
0,0,1,0,8,0
0,2,60,7,8,0
0,1,61,6,6,0
0,0,2,0,0,0
0,0,1,0,0,0
0,0,10,4,2,0
0,0,8,6,2,0
0,0,7,6,2,0
0,0,7,6,0,0
0,0,8,6,2,0
0,0,8,6,0,0
0,0,8,6,0,0
0,0,9,6,0,0
0,0,10,6,0,0
0,0,9,6,0,0
0,0,2,0,0,0
0,0,1,0,0,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,26,8,4,0
0,0,1,0,0,0
0,4,27,13,4,0
0,2,76,9,10,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,1,0,0,0
0,0,0,0,1,0
0,10,76,3,38,0
0,0,0,0,1,0
0,0,3,0,0,0
0,0,1,0,0,0
0,0,0,0,1,0
0,1,17,12,7,0
0,1,9,9,3,0
0,0,1,0,0,0
0,0,3,1,0,0
0,0,4,0,1,0
0,0,4,0,1,0
0,0,7,1,5,0
0,1,29,7,5,0
0,0,0,0,1,0
0,0,11,2,1,0
0,0,13,1,1,0
0,0,3,0,0,0
0,0,0,0,1,0
0,0,813,10,3,0
0,0,36,12,6,0
0,0,26,9,2,0
0,0,13,9,2,0
0,0,10,9,2,0
0,0,137,11,4,0
0,0,132,10,3,0
0,0,15,11,3,0
0,0,0,0,1,0
0,1,135,90,9,0
0,0,13,1,0,0
0,0,1,0,0,0
0,1,38,15,0,0
0,0,84,12,2,0
0,0,12,9,1,0
0,0,12,9,1,0
0,0,12,9,1,0
0,0,17,9,1,0
0,0,10,9,1,0
0,0,8,2,1,0
0,0,16,9,3,0
0,0,12,2,1,0
0,0,12,2,1,0
0,0,6,1,0,0
0,0,3,0,0,0
0,0,10,10,2,0
0,0,60,11,1,0
0,0,8,2,1,0
0,0,16,8,1,0
0,0,6,1,2,0
0,0,1,0,0,0
0,1,42,12,15,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,7,1,0,0
0,0,6,1,1,0
0,0,3,0,0,0
0,0,0,0,1,0
0,0,15,10,3,0
0,0,7,9,0,0
0,0,8,1,0,0
0,0,5,0,0,0
0,0,6,2,0,0
0,0,6,2,0,0
0,0,6,2,0,0
0,0,6,2,0,0
0,0,6,2,0,0
0,0,3,0,0,0
0,2,52,24,3,0
0,0,7,2,0,0
0,0,5,1,1,0
0,0,66,67,14,0
0,0,145,93,18,0
0,0,6,1,1,0
0,0,1,0,0,0
0,0,45,8,27,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,6,2,1,0
0,1,6,6,2,0
0,0,1,0,0,0
0,0,92,14,13,0
0,0,43,9,6,0
0,0,3,0,0,0
0,0,1,0,1,0
0,2,11,10,4,0
0,0,0,0,1,0
0,0,2,0,0,0
0,0,0,0,1,0
0,2,67,132,2,0
0,0,0,0,1,0
0,0,0,0,1,0
0,4,28,2,1,0
0,0,17,12,0,0
0,0,1,1,1,0
0,1,8,0,0,0
0,0,2,0,0,0
0,0,4,0,0,0
0,23,32,4,10,0
0,1,109,9,1,0
