I,R,C,W,E,F
0,1,2,0,0,0
0,0,1,0,0,0
0,0,4,0,0,0
0,1,2,0,0,0
0,0,6,0,0,0
0,3,12,1,0,0
0,3,16,10,0,0
0,2,7,1,0,0
0,3,2,0,0,0
0,1,19,1,0,0
0,1,27,1,0,0
0,0,0,1,0,0
0,20,1,0,0,0
0,0,24,3,0,0
0,0,1,0,0,0
0,0,1,0,0,0
0,0,2,1,0,0
0,0,2,3,0,0
0,0,0,1,0,0
0,1,3,0,0,0
0,1,11,1,0,0
0,1,14,1,0,0
0,1,12,1,0,0
0,4,13,4,0,0
0,1,11,1,0,0
0,0,4,0,0,0
0,6,27,0,0,0
0,0,5,0,0,0
0,0,3,1,0,0
0,0,2,0,0,0
0,5,7,1,0,0
0,3,5,10,0,0
0,0,1,0,0,0
0,2,34,4,1,0
0,2,4,0,0,0
0,0,3,0,0,0
0,0,5,1,0,0
0,4,3,14,0,0
0,0,3,0,0,0
0,1,6,0,0,0
0,2,3,0,0,0
0,1,3,0,0,0
0,1,13,1,0,0
0,0,1,0,0,0
0,2,6,1,0,0
0,0,1,0,0,0
0,0,25,1,0,0
0,1,6,2,0,0
0,1,10,0,0,0
0,2,20,0,0,0
0,2,11,0,0,0
0,0,4,2,0,0
0,14,30,9,0,0
0,1,7,0,0,0
0,1,3,0,0,0
0,1,5,0,0,0
0,2,4,0,0,0
0,1,1,0,0,0
0,1,4,3,0,0
0,1,7,0,0,0
0,2,6,1,0,0
0,0,14,0,0,0
0,10,13,0,0,0
0,1,3,0,0,0
0,0,20,0,0,0
