I,R,C,W,E,F
0,0,7,7,4,0
0,0,8,5,3,0
0,0,7,10,3,0
0,0,7,5,4,0
0,0,6,5,3,0
0,0,34,57,0,0
0,0,0,3,0,0
0,115,52,4,1,0
0,0,5,7,0,0
0,0,2,4,1,0
0,0,0,1,0,0
0,0,1,0,0,0
0,0,9,81,0,0
0,4,32,111,4,0
0,0,2,0,0,0
0,0,0,17,0,0
0,0,1,0,0,0
0,0,34,30,0,0
0,1,102,185,0,0
0,0,142,245,0,0
0,0,6,12,0,0
0,0,63,123,0,0
0,0,9,19,0,0
0,0,87,63,0,0
0,1,66,131,0,0
0,0,8,53,0,0
0,1,15,11,1,0
0,0,38,99,0,0
0,0,9,36,0,0
0,1,8,7,0,0
0,0,0,49,0,0
0,0,38,51,0,0
0,0,5,5,0,0
0,0,2,0,0,0
0,8,33,42,1,0
0,0,103,364,0,0
0,10,114,203,0,0
0,0,1,0,0,0
0,0,1,10,0,0
0,3,86,141,0,0
0,1,5,3,0,0
0,0,36,56,0,0
0,0,6,7,0,0
0,0,6,35,0,0
0,0,20,45,0,0
0,0,20,13,0,0
0,0,20,123,0,0
0,0,1,0,0,0
0,0,60,78,0,0
0,0,1,0,0,0
0,0,2,0,0,0
0,0,8,16,6,0
0,4,229,387,1,0
0,3,11,10,0,0
0,0,36,152,0,0
0,0,1,0,0,0
0,0,1,0,0,0
0,0,1,0,0,0
0,0,6,9,5,0
0,1,22,112,0,0
0,0,49,106,1,0
0,0,36,74,0,0
0,1,13,16,0,0
0,0,4,111,0,0
0,4,4,108,0,0
0,4,24,20,1,0
0,0,77,177,0,0
0,0,1,0,0,0
0,0,1,0,0,0
0,0,1,0,0,0
0,1,9,11,5,0
0,5,103,177,0,0
0,0,5,5,0,0
0,0,5,25,0,0
0,0,7,21,0,0
0,1,18,15,2,0
0,0,19,129,0,0
0,0,69,41,0,0
0,3,9,6,0,0
0,0,16,77,0,0
0,0,21,37,1,0
0,0,1,0,0,0
0,0,4,3,0,0
0,0,6,5,0,0
0,0,26,39,0,0
0,0,1,0,0,0
0,0,28,13,1,0
0,0,5,15,0,0
0,0,35,96,0,0
0,0,1,2,0,0
0,0,3,70,0,0
0,0,6,28,0,0
0,0,5,7,0,0
0,0,2,23,0,0
0,0,11,102,0,0
0,0,7,7,0,0
0,0,18,80,0,0
0,0,1,0,0,0
0,3,24,24,0,0
0,0,88,280,0,0
0,0,4,17,0,0
0,0,7,31,3,0
0,0,3,5,0,0
0,0,1,1,0,0
0,0,1,0,0,0
0,0,165,5,0,0
0,0,39,23,0,0
0,0,32,13,0,0
0,1,71,53,0,0
0,0,10,9,0,0
0,0,1,0,0,0
0,0,2,0,0,0
0,0,10,69,18,0
0,1,22,115,7,0
0,1,52,76,2,0
0,0,11,27,0,0
0,0,1,0,0,0
0,0,1,0,0,0
0,1,17,7,5,0
0,1,31,34,8,0
0,0,10,14,0,0
0,0,2,12,0,0
0,1,84,103,0,0
0,0,6,4,0,0
0,0,1,0,0,0
0,0,183,71,0,0
0,0,18,8,0,0
0,0,28,11,0,0
0,0,20,4,0,0
0,0,2,0,0,0
0,0,0,11,0,0
0,0,1,0,0,0
0,1,5,13,6,0
0,0,25,59,2,0
0,1,16,28,0,0
0,0,2,7,0,0
0,0,14,26,0,0
0,0,61,28,0,0
0,0,77,62,0,0
0,0,6,6,0,0
0,0,128,47,0,0
0,0,2,3,0,0
0,0,10,45,0,0
0,0,0,0,1,0
0,0,1,0,0,0
0,0,7,27,0,0
0,0,7,16,0,0
0,0,9,15,0,0
0,0,4,15,0,0
0,0,5,15,0,0
0,0,86,2,0,0
0,1,2,0,0,0
0,0,2,2,0,0
0,0,2,0,0,0
0,0,2,1,0,0
0,1,12,20,0,0
0,0,7,89,0,0
0,0,3,0,0,0
0,3,48,82,0,0
0,0,4,6,0,0
0,1,24,65,0,0
0,2,29,82,0,0
0,1,1,0,0,0
0,0,0,8,0,0
0,2,13,26,2,0
0,0,35,88,0,0
0,0,39,107,0,0
0,0,53,113,0,0
0,0,42,106,0,0
0,0,1,0,0,0
0,0,2,4,0,0
0,2,53,231,1,0
0,0,2,0,0,0
0,0,12,104,0,0
0,0,5,0,0,0
0,0,1,0,0,0
0,1,10,38,1,0
0,0,1,0,0,0
0,0,0,1,0,0
0,2,46,225,1,0
0,0,2,0,0,0
0,0,5,0,0,0
0,0,0,3,0,0
0,1,27,114,0,0
0,3,42,114,0,0
0,0,1,0,0,0
0,0,1,1,0,0
0,0,5,0,0,0
0,1,16,45,0,0
0,1,13,18,0,0
0,0,4,14,0,0
0,0,1,0,0,0
0,0,6,0,0,0
0,1,10,67,2,0
0,1,27,72,3,0
0,4,14,96,3,0
0,2,3,6,5,0
0,3,7,47,0,0
0,0,1,0,0,0
0,0,5,0,0,0
0,0,6,28,0,0
0,2,15,173,0,0
0,0,15,130,0,0
0,0,1,8,0,0
0,2,5,34,0,0
0,0,1,0,0,0
0,0,2,0,0,0
0,2,42,139,0,0
0,0,6,51,0,0
0,3,51,192,0,0
0,1,56,100,0,0
0,0,5,2,2,0
0,0,25,120,0,0
0,5,54,203,4,0
0,1,5,29,1,0
0,0,22,24,0,0
0,0,8,15,0,0
0,0,4,16,0,0
0,0,10,85,0,0
0,0,7,35,0,0
0,0,6,31,0,0
0,6,22,111,1,0
0,0,19,0,0,0
0,0,1,0,0,0
0,0,1,0,0,0
0,1,10,0,3,0
0,0,17,87,0,0
0,0,5,0,3,0
0,0,2,43,0,0
0,0,1,1,0,0
0,0,24,79,20,0
0,0,14,52,2,0
0,2,15,5,0,0
0,0,31,140,0,0
0,0,1,0,0,0
0,0,2,0,0,0
0,2,22,130,0,0
0,0,3,6,0,0
0,1,3,19,0,0
0,2,10,15,0,0
0,0,16,95,1,0
0,2,6,75,0,0
0,0,8,68,2,0
0,0,26,31,1,0
0,0,9,6,0,0
0,0,5,3,0,0
0,3,34,164,1,0
0,1,4,7,1,0
0,4,29,82,1,0
0,0,9,19,0,0
0,1,39,70,0,0
0,0,21,50,1,0
0,3,30,143,0,0
0,0,11,30,0,0
0,0,65,46,0,0
0,0,2,11,0,0
0,0,5,15,0,0
0,1,3,16,0,0
0,0,1,0,0,0
0,0,2,0,0,0
0,0,1,2,0,0
0,0,1,0,0,0
0,0,5,0,0,0
0,4,101,102,0,0
0,7,57,315,4,0
0,0,25,58,2,0
0,0,17,49,0,0
0,0,0,12,3,0
0,0,4,6,0,0
0,0,60,0,0,0
0,0,102,7,0,0
0,0,57,24,0,0
0,0,2,0,0,0
0,0,0,4,0,0
0,0,2,0,0,0
0,0,3,7,0,0
0,0,1,0,0,0
0,0,2,4,4,0
0,0,2,0,0,0
0,0,0,1,0,0
0,0,6,2,1,0
0,0,0,11,0,0
0,0,4,14,0,0
0,0,1,2,0,0
0,0,18,64,1,0
0,0,4,18,1,0
0,0,6,56,1,0
0,0,26,50,1,0
0,0,25,36,1,0
0,0,12,44,1,0
0,0,9,29,1,0
0,0,5,8,1,0
0,0,19,42,1,0
0,0,12,27,1,0
0,4,14,35,2,0
0,0,10,91,1,0
0,0,7,14,1,0
0,0,6,25,1,0
0,0,14,51,1,0
0,0,2,39,0,0
0,0,2,15,0,0
0,0,13,11,0,0
