I,R,C,W,E,F
0,0,8,3,2,0
0,2,7,0,3,0
0,0,4,1,2,0
0,0,52,2,0,0
0,0,1,1,1,0
0,0,3,0,0,0
0,1,4,1,0,0
0,0,5,0,0,0
0,0,2,1,0,0
0,5,83,46,1,0
0,0,0,0,1,0
0,0,2,1,1,0
0,0,3,0,0,0
0,0,5,2,1,0
0,1,4,1,0,0
0,0,4,0,0,0
0,0,4,0,0,0
0,0,8,2,0,0
0,0,6,0,0,0
0,0,1,1,0,0
0,0,5,0,1,0
0,0,2,1,0,0
0,0,2,2,0,0
0,0,5,0,0,0
0,23,49,33,6,0
0,3,4,6,1,0
0,5,73,20,11,0
0,12,43,12,3,0
0,0,31,1,0,0
0,3,22,0,4,0
0,12,29,2,1,0
0,1,7,4,2,0
0,0,5,0,0,0
0,14,56,13,0,0
0,0,6,0,0,0
0,2,18,2,0,0
0,0,7,0,0,0
0,1,6,1,1,0
0,2,8,0,1,0
0,4,12,1,1,0
0,5,19,2,0,0
0,15,170,20,4,0
0,2,3,0,2,0
0,1,3,1,0,0
0,0,7,1,0,0
0,5,5,1,2,0
0,2,5,3,0,0
0,3,51,9,3,0
0,3,28,3,1,0
0,43,32,1,108,0
0,0,3,0,0,0
0,1,5,4,1,0
0,5,34,7,1,0
0,3,46,3,2,0
0,2,26,4,2,0
0,2,23,1,3,0
0,0,3,6,0,0
0,4,9,2,3,0
0,4,8,10,2,0
0,0,4,2,0,0
0,8,35,7,0,0
0,7,22,13,0,0
0,1,7,2,2,0
0,0,4,2,0,0
0,1,3,2,0,0
0,0,12,4,0,0
0,0,5,5,0,0
0,1,10,2,0,0
0,6,12,3,1,0
0,15,66,24,4,0
0,7,27,9,0,0
0,1,7,2,0,0
0,4,11,7,2,0
0,3,29,0,5,0
0,7,58,7,7,0
0,1,4,0,0,0
0,4,10,0,1,0
0,10,58,22,1,0
0,0,1,1,0,0
0,0,4,2,1,0
0,0,5,3,0,0
0,0,4,1,1,0
0,0,5,5,1,0
0,0,2,11,0,0
0,3,15,3,0,0
0,0,2,0,0,0
0,0,2,0,0,0
0,0,3,0,0,0
0,2,7,2,0,0
0,0,11,7,1,0
0,0,2,0,0,0
0,0,1,0,0,0
0,1,4,0,1,0
0,1,6,8,2,0
0,0,4,4,1,0
0,0,0,15,0,0
0,0,8,4,0,0
0,0,1,0,0,0
0,0,2,0,0,0
0,0,1,20,0,0
0,0,11,8,1,0
0,0,4,1,0,0
0,0,4,1,0,0
0,0,3,1,0,0
0,0,8,5,0,0
0,0,1,0,0,0
0,0,4,2,0,0
0,0,0,11,0,0
0,0,3,1,0,0
0,0,1,0,0,0
0,0,2,1,0,0
0,0,1,0,0,0
0,0,2,0,0,0
0,3,6,1,0,0
0,0,2,0,0,0
0,0,2,0,0,0
0,0,2,0,0,0
0,0,1,0,0,0
0,0,3,0,0,0
0,0,1,0,0,0
0,2,4,2,0,0
0,0,1,9,0,0
0,0,8,3,0,0
0,0,1,0,0,0
0,0,2,0,0,0
0,0,1,0,0,0
0,0,5,2,0,0
0,0,4,0,0,0
0,4,31,1,0,0
0,28,333,55,9,0
0,3,52,14,2,0
0,5,21,6,2,0
0,0,1,0,0,0
0,0,1,0,0,0
0,0,1,0,0,0
0,1,4,0,1,0
0,1,6,8,2,0
0,0,6,2,1,0
0,0,1,0,0,0
0,10,26,6,0,0
0,0,5,0,0,0
0,4,23,6,0,0
0,0,2,2,0,0
0,0,2,2,0,0
0,0,2,2,0,0
0,0,4,1,0,0
0,0,3,1,0,0
0,23,98,16,15,0
0,13,226,20,4,0
0,2,63,10,2,0
0,1,27,1,0,0
0,24,462,82,21,0
0,14,140,38,0,0
0,1,8,1,0,0
0,5,51,19,0,0
0,1,23,0,0,0
0,4,40,3,0,0
0,2,37,8,2,0
0,3,75,10,0,0
0,34,196,27,4,0
0,138,926,368,58,0
0,2,9,2,0,0
0,0,7,1,4,0
0,2,36,0,0,0
0,18,112,6,18,0
0,5,28,0,0,0
0,12,112,2,0,0
0,13,111,30,0,0
0,8,172,12,23,0
0,3,25,0,1,0
0,13,50,14,0,0
0,19,168,50,11,0
0,7,69,25,9,0
0,20,128,23,10,0
0,14,123,22,5,0
0,17,74,6,3,0
0,48,221,36,32,0
0,9,116,12,0,0
0,1,8,3,0,0
0,4,41,38,0,0
0,12,46,14,0,0
0,21,35,20,1,0
0,3,16,5,0,0
0,4,36,4,0,0
0,5,17,1,0,0
0,2,42,7,0,0
0,14,131,46,5,0
0,8,81,21,2,0
0,3,40,18,0,0
0,2,21,4,0,0
0,23,116,28,11,0
0,15,110,20,17,0
0,16,118,35,101,0
0,3,35,0,0,0
0,7,74,0,0,0
0,22,200,10,10,0
0,4,23,0,0,0
0,29,274,11,44,0
0,25,281,61,5,0
0,8,102,11,4,0
0,8,142,29,11,0
0,36,220,21,25,0
0,5,30,17,0,0
0,1,8,2,0,0
0,7,22,4,4,0
0,0,2,1,1,0
0,5,21,1,1,0
0,4,30,1,1,0
0,10,38,11,2,0
0,5,20,4,2,0
0,0,3,2,0,0
0,1,2,0,0,0
0,0,1,1,0,0
0,0,3,0,0,0
0,0,2,1,0,0
0,0,1,0,0,0
0,0,1,1,1,0
0,202,246,0,0,0
0,0,2,1,0,0
0,1,4,0,1,0
0,0,4,1,2,0
0,0,3,0,2,0
0,0,5,1,1,0
0,0,67,34,11,0
0,0,17,0,0,0
0,0,7,1,0,0
0,0,4,1,2,0
0,18,60,8,20,0
0,1,3,0,0,0
0,0,20,5,11,0
0,6,18,6,0,0
0,33,333,1,94,0
0,33,234,14,32,0
0,3,25,4,0,0
