I,R,C,W,E,F
0,3,48,8,0,0
0,0,2,1,0,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,8,0,1,0
0,0,4,0,0,0
0,0,1,0,0,0
0,0,13,0,0,0
0,0,8,0,4,0
0,0,6,0,0,0
0,0,7,0,0,0
0,0,18,5,2,0
0,1,7,5,1,0
0,0,52,5,0,0
0,0,3,0,0,0
0,0,7,3,0,0
0,0,4,0,0,0
0,0,0,0,1,0
0,0,1,0,0,0
0,3,26,9,5,0
0,0,1,0,0,0
0,0,5,1,8,0
0,1,13,1,0,0
0,26,112,41,17,0
0,0,1,0,0,0
0,0,9,6,4,0
0,0,6,0,0,0
0,0,7,0,0,0
0,0,3,0,0,0
0,0,3,0,0,0
0,0,2,0,0,0
0,0,3,0,0,0
0,0,1,0,0,0
0,0,13,0,0,0
0,0,2,1,0,0
0,0,1,0,0,0
0,0,7,0,0,0
0,0,8,0,0,0
0,0,11,0,0,0
0,0,5,0,0,0
0,12,52,20,10,0
0,0,0,0,1,0
0,0,4,0,0,0
0,0,42,14,8,0
0,0,13,0,0,0
0,0,1,0,0,0
0,0,3,0,0,0
0,0,12,5,0,0
0,0,183,0,0,0
0,0,9,0,0,0
0,0,64,1,12,0
0,0,39554,1,0,0
0,0,0,0,1,0
0,890,392,21,1,0
0,1,5,0,0,0
0,0,4,0,0,0
0,0,100,45,9,0
0,17,28,13,1,0
0,0,4,0,0,0
0,3,15,1,2,0
0,0,6,2,0,0
0,3,17,2,0,0
0,12,10,4,0,0
0,6,14,6,0,0
0,1,3,1,0,0
0,0,1,0,0,0
0,0,1,0,0,0
0,0,1,0,0,0
0,0,1,0,0,0
0,0,3,0,0,0
0,0,1,0,0,0
0,6,22,11,6,0
0,7,28,0,0,0
0,28,415,5,0,0
0,25,396,5,0,0
0,25,426,5,0,0
0,27,314,5,0,0
0,24,325,6,0,0
0,29,328,5,0,0
0,30,200,5,0,0
0,1,6,0,0,0
0,13,24,7,2,0
0,17,29,7,2,0
0,19,63,3,0,0
0,8,20,2,9,0
0,0,162,0,0,0
0,0,11,1,0,0
0,3,11,0,3,0
0,1,6,5,0,0
0,5,10,1,2,0
0,40,30,15,2,0
0,0,3,0,0,0
0,0,1,0,0,0
0,0,4,0,0,0
0,0,1,0,0,0
0,0,1,0,0,0
0,0,2,0,0,0
0,0,2,0,0,0
0,0,8,0,0,0
0,0,1,0,0,0
0,0,1,0,0,0
0,1,10,0,0,0
0,3,40,0,0,0
0,0,4,0,0,0
0,1,19,0,0,0
0,3,25,0,0,0
0,3,25,0,0,0
0,1,6,0,0,0
0,0,4,0,0,0
0,1,4,0,0,0
0,3,20,0,0,0
0,3,3,1,0,0
0,3,27,5,3,0
0,7,28,3,0,0
0,3,18,2,1,0
0,3,8,3,1,0
0,29,166,10,0,0
0,3,12,0,1,0
0,6,7,0,0,0
0,21,60,24,1,0
0,10,22,0,0,0
0,6,31,7,4,0
0,1,9,5,0,0
0,0,9,1,0,0
0,0,1,0,0,0
0,3,61,0,0,0
0,2,43,0,0,0
0,5,19,2,13,0
0,29,91,9,0,0
0,1,9,0,6,0
0,2,12,0,2,0
0,0,12,2,13,0
0,1,4,0,3,0
0,23,25,14,10,0
0,9,44,5,1,0
0,24,106,5,1,0
0,32,118,15,0,0
0,0,1,0,0,0
0,8,170,0,0,0
0,2,63,4,0,0
0,15,312,3,0,0
0,0,7,12,0,0
0,26,23,13,1,0
1,41,111,50,14,0
0,0,44,2,0,0
0,9,12,14,0,0
0,3,2,1,0,0
0,0,1,0,0,0
0,5,4,0,2,0
0,3,26,2,1,0
0,2,7,1,0,0
0,0,1,0,0,0
0,2,103,0,0,0
0,4,92,4,0,0
0,7,201,5,0,0
0,5,387,2,0,0
0,1,65,0,0,0
0,19,153,12,0,0
0,0,44,0,0,0
0,11,66,6,0,0
0,0,176,0,0,0
0,0,1,0,0,0
0,0,6,0,0,0
0,0,2,0,0,0
0,0,7,0,0,0
0,0,10,0,0,0
0,0,13,0,0,0
0,0,8,0,0,0
0,0,1,0,0,0
0,0,4,2,0,0
0,9,70,47,2,0
0,0,2,1,0,0
0,0,4,2,0,0
0,0,6,0,0,0
0,20,90,35,12,0
0,0,9,0,0,0
0,0,8,0,0,0
0,0,2,3,0,0
0,0,5,0,0,0
0,0,1,0,0,0
0,0,8,0,0,0
0,0,8,2,0,0
0,0,3,0,0,0
0,0,5,3,0,0
0,0,5,0,12,0
0,22,158,457,0,0
0,0,46,0,0,0
0,33,203,42,0,0
0,0,90,5,0,0
0,10,75,21,0,0
0,29,148,31,0,0
0,0,19,0,0,0
0,0,40,3,0,0
0,0,68,4,1,0
0,0,12,1,0,0
0,3,38,22,0,0
0,0,85,15,0,0
0,0,6,0,0,0
0,0,30,1,2,0
0,0,17,10,0,0
0,0,39,15,13,0
0,0,21,1,0,0
0,1,17,3,0,0
0,0,35,1,0,0
0,0,15,3,0,0
0,0,11,0,2,0
0,0,5,9,0,0
0,0,7,0,0,0
0,3,44,9,0,0
0,0,12,4,4,0
0,0,6,2,6,0
0,0,5,0,0,0
0,0,42,5,4,0
0,4,116,26,5,0
0,9,71,77,3,0
0,1,20,5,1,0
0,0,9,4,0,0
0,0,5,1,0,0
0,0,21,3,0,0
0,4,9,1,5,0
0,1,12,5,18,0
0,1,9,3,9,0
0,1,5,3,4,0
0,0,5,1,7,0
0,0,4,2,7,0
0,0,17,0,0,0
0,0,5,2,2,0
0,0,11,0,0,0
0,0,11,1,8,0
0,0,4,0,1,0
0,0,31,4,0,0
0,2,6,11,0,0
0,0,13,0,0,0
0,0,5,0,0,0
0,0,10,9,0,0
0,0,6,0,0,0
0,0,1,0,0,0
0,0,6,1,0,0
0,0,4,2,0,0
0,0,5,0,0,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,1,0
