I,R,C,W,E,F
0,0,22,1,0,0
0,0,3,0,2,0
0,1,9,0,1,0
0,3,12,6,2,0
0,12,36,13,7,0
0,4,1,7,2,0
0,0,2,1,0,0
0,4,15,8,4,0
0,9,8,4,7,0
0,6,7,6,8,0
0,3,4,3,1,0
0,0,3,1,1,0
0,4,3,0,2,0
0,0,0,1,1,0
0,2,3,0,3,0
0,4,12,6,2,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,1,0,0,0
0,1,2,3,5,0
0,0,0,0,1,0
0,0,8,5,6,0
0,5,13,9,10,0
0,15,60,22,15,0
0,0,0,0,2,0
0,0,1,0,0,0
0,0,1,0,0,0
0,0,1,0,0,0
0,2,9,5,10,0
0,0,0,0,1,0
0,1,2,0,2,0
0,1,2,4,3,0
0,3,1,0,3,0
0,0,2,2,5,0
0,0,1,0,1,0
0,4,6,11,7,0
0,0,1,0,2,0
0,5,18,11,12,0
0,10,6,10,7,0
0,2,17,0,1,0
0,26,2,2,7,0
0,0,4,0,0,0
0,0,5,0,0,0
0,0,9,0,0,0
