I,R,C,W,E,F
0,0,22,1,0,0
0,0,5,1,0,0
0,0,14,9,0,0
0,0,3,1,0,0
0,79,15,2,0,0
0,0,3,3,0,0
0,18,4,5,6,0
0,2,8,1,1,0
0,0,1,0,0,0
0,0,0,62,0,0
0,0,1,3,0,0
0,5,2,9,0,0
0,0,2,0,0,0
0,0,2,0,1,0
0,0,1,0,0,0
0,0,1,0,0,0
0,3,7,10,1,0
0,0,1,0,0,0
0,0,1,0,0,0
0,2,4,2,1,0
0,2,2,0,1,0
0,1,2,0,1,0
0,1,3,0,1,0
0,0,1,4,0,0
0,4,3,1,2,0
0,0,4,1,1,0
0,2,3,4,1,0
0,2,3,3,1,0
0,0,3,3,1,0
0,7,14,7,0,0
0,0,9,0,0,0
0,0,3,0,0,0
0,2,15,3,0,0
31,9,19,13,1,0
0,0,2,0,0,0
0,5,9,1,0,0
0,0,10,0,11,0
0,0,3,2,0,0
0,0,0,42,0,0
0,0,0,1,0,0
0,0,1,0,0,0
0,2,15,5,1,0
0,0,1,0,0,0
0,3,22,4,3,0
0,4,37,5,2,0
0,0,1,0,0,0
0,4,5,5,0,0
0,1,3,2,0,0
0,0,2,2,0,0
0,16,28,17,1,0
0,0,1,0,1,0
0,13,47,33,4,0
0,0,10,0,0,0
0,5,8,4,5,0
0,0,1,0,1,0
0,0,5,1,0,0
0,4,14,3,1,0
0,5,17,3,2,0
0,1,1,0,0,0
0,0,4,3,0,0
0,0,2,0,1,0
0,0,2,4,3,0
0,0,1,0,0,0
0,9,7,5,0,0
0,13,11,3,4,0
0,4,14,11,1,0
0,1,19,2,2,0
0,2,7,0,0,0
0,0,6,0,0,0
0,2,38,5,3,0
0,0,24,2,3,0
0,0,57,9,32,0
0,0,53,0,0,0
0,1,94,0,3,0
0,1,9,1,0,0
0,0,6,0,0,0
0,0,4,0,0,0
0,0,12,0,1,0
0,3,35,7,3,0
0,4,82,1,4,0
0,0,3,0,1,0
0,0,9,0,1,0
0,7,245,80,302,0
0,1,27,12,1,0
0,0,24,3,3,0
0,2,92,3,2,0
0,0,9,3,1,0
0,0,17,0,0,0
0,1,6,2,2,0
0,1,31,6,1,0
0,0,16,1,1,0
0,1,15,1,2,0
0,1,12,0,1,0
0,1,28,3,4,0
0,2,120,16,5,0
0,6,87,11,4,0
0,6,36,3,2,0
0,1,29,1,6,0
0,0,15,0,0,0
0,0,14,2,2,0
0,0,33,2,2,0
0,0,5,2,1,0
0,0,25,3,0,0
0,0,8,0,0,0
0,0,7,0,0,0
0,0,11,1,0,0
0,0,7,0,0,0
0,0,15,3,0,0
0,0,29,0,0,0
0,0,9,1,0,0
0,1,46,2,3,0
0,0,29,6,0,0
0,0,20,0,0,0
0,0,20,4,0,0
0,0,3,0,0,0
0,0,22,0,0,0
0,0,1,0,0,0
0,0,14,0,1,0
0,0,40,2,1,0
13,6,82,31,1,0
0,1,30,4,0,0
0,0,4,0,0,0
0,0,6,0,0,0
0,0,7,0,0,0
0,1,13,0,0,0
0,2,42,0,0,0
0,0,14,0,0,0
0,4,29,8,0,0
0,0,4,2,0,0
0,2,23,0,3,0
0,0,2,0,0,0
0,1,20,10,0,0
0,0,4,0,0,0
0,1,18,6,0,0
0,1,33,1,0,0
0,0,35,0,0,0
0,0,4,0,0,0
0,0,5,2,1,0
0,0,14,2,1,0
0,0,9,2,1,0
0,0,21,1,1,0
0,1,18,2,23,0
0,1,24,4,2,0
0,0,1,0,0,0
0,0,1,2,0,0
0,3,3,2,0,0
0,0,3,1,0,0
0,1,2,1,0,0
0,0,1,0,0,0
0,3,3,0,0,0
0,0,3,2,0,0
0,0,45,20,1,0
0,0,8,2,0,0
0,1,11,1,0,0
0,2,4,3,0,0
0,0,1,0,0,0
0,3,4,3,1,0
0,0,1,0,0,0
0,0,1,0,0,0
0,0,10,0,0,0
0,0,1,1,0,0
0,0,3,0,0,0
0,1,2,0,0,0
0,0,2,0,0,0
0,0,1,6,0,0
0,0,1,5,0,0
0,0,2,0,0,0
0,0,1,5,0,0
0,0,1,6,0,0
0,0,1,1,0,0
0,1,2,2,0,0
0,1,2,2,4,0
0,0,1,4,0,0
0,2,3,1,0,0
0,0,3,3,0,0
0,0,2,0,0,0
0,0,1,2,0,0
0,1,1,5,1,0
0,3,1,8,0,0
0,0,1,5,0,0
0,3,1,5,0,0
0,0,2,6,0,0
0,0,2,9,0,0
0,5,2,6,0,0
0,0,1,6,0,0
0,3,1,1,0,0
0,6,1,5,0,0
0,1,1,8,0,0
0,0,1,1,0,0
0,3,4,5,0,0
0,0,1,1,0,0
