I,R,C,W,E,F
0,0,18,0,2,0
0,0,72,3,1,0
0,0,4,1,1,0
0,0,34,0,1,0
0,0,71,5,24,0
0,0,51,0,1,0
0,0,13,0,2,0
0,0,10,0,1,0
0,0,24,0,1,0
0,0,5,2,1,0
0,0,2,1,0,0
0,0,35,7,3,0
0,0,25,2,2,0
0,0,15,0,4,0
0,0,10,0,0,0
0,0,20,0,1,0
0,0,16,0,2,0
0,0,11,2,1,0
0,0,68,4,5,0
0,0,34,0,1,0
0,0,11,0,0,0
0,1,5,0,1,0
0,0,1,0,0,0
0,0,23,21,11,0
0,0,3,2,0,0
0,1,9,4,0,0
0,10,9,6,0,0
0,0,19,6,0,0
0,0,2,1,1,0
0,0,0,3,0,0
0,2,29,16,35,0
0,3,2,1,0,0
0,1,7,0,0,0
0,4,0,0,0,0
0,17,41,20,86,0
0,0,1,1,8,0
0,0,0,1,0,0
0,0,2,0,0,0
0,0,19,0,7,0
0,1,0,1,0,0
0,0,13,1,1,0
0,0,6,2,1,0
0,1,1,0,0,0
0,3,5,5,4,0
0,2,8,0,0,0
0,2,5,0,0,0
0,0,1,0,0,0
0,2,5,0,0,0
0,1,21,0,0,0
0,0,1,0,0,0
0,4,4,0,0,0
2,3,13,0,0,0
0,7,29,3,1,0
0,0,3,0,0,0
0,2,1,1,1,0
0,3,10,5,2,0
0,2,1,6,1,0
0,0,24,0,0,0
3,0,27,0,0,0
0,0,156,0,0,0
0,0,1,0,2,0
0,12,14,2,3,0
0,3,21,1,6,0
0,4,20,2,1,0
0,2,6,0,2,0
0,2,3,0,2,0
0,5,17,0,1,0
0,6,21,0,2,0
0,10,16,1,3,0
0,0,28,4,1,0
0,2,14,0,1,0
0,14,23,0,0,0
0,1,1,0,0,0
0,0,5,3,0,0
0,6,8,0,0,0
0,13,48,3,9,0
0,3,12,0,0,0
0,5,26,0,4,0
0,8,58,0,4,0
0,4,24,0,9,0
0,8,58,0,6,0
0,9,48,0,2,0
0,0,95,1,5,0
0,12,31,0,3,0
0,12,46,2,8,0
0,1,1,0,0,0
3,10,15,14,3,0
0,2,2,0,0,0
0,0,4,0,0,0
0,0,16,0,0,0
0,1,2,2,0,0
0,0,8,0,0,0
0,0,7,0,0,0
0,0,5,0,0,0
0,1,0,0,0,0
0,1,5,0,5,0
0,0,1,4,0,0
0,0,52,0,0,0
0,4,15,2,0,0
0,1,1,0,2,0
0,0,0,0,1,0
0,0,3,0,3,0
0,1,12,4,7,0
0,17,76,7,1,0
0,1,3,0,0,0
0,1,0,2,0,0
0,0,12,0,1,0
0,0,2,0,1,0
0,4,6,6,0,0
0,2,7,3,0,0
0,2,36,4,4,0
0,0,5,0,0,0
0,0,41,4,1,0
0,0,80,0,4,0
0,0,9,1,0,0
0,0,174,8,4,0
0,0,87,12,5,0
0,0,47,0,1,0
0,0,28,0,1,0
0,0,53,11,2,0
0,107,425,28,65,0
0,28,80,0,0,0
0,73,174,12,2,0
0,126,254,31,0,0
0,34,93,12,1,0
0,14,36,6,0,0
0,12,34,3,5,0
0,41,164,5,49,0
0,23,47,4,0,0
0,60,138,3,0,0
0,61,78,20,0,0
0,52,217,16,2,0
0,0,6,0,1,0
0,8,30,4,0,0
0,26,121,5,7,0
0,4,6,1,0,0
0,83,187,20,2,0
0,19,45,2,2,0
0,17,40,0,0,0
0,146,231,38,0,0
0,4,17,0,0,0
0,25,54,5,3,0
0,33,59,14,0,0
0,10,28,7,0,0
0,31,64,6,0,0
0,0,42,1,3,0
0,0,12,0,0,0
0,11,43,0,1,0
0,10,58,0,0,0
0,30,126,1,0,0
0,4,31,0,0,0
0,2,3,0,0,0
4,8,25,13,0,0
0,29,92,0,1,0
0,14,30,23,0,0
0,4,16,1,0,0
0,26,79,7,0,0
0,4,11,0,0,0
0,2,5,0,0,0
0,52,186,22,0,0
0,0,37,0,0,0
0,0,81,0,0,0
0,0,49,0,0,0
0,35,59,7,0,0
0,11,63,4,0,0
0,8,9,1,0,0
0,37,56,8,6,0
0,7,9,1,0,0
0,48,72,4,0,0
0,116,188,13,8,0
0,58,125,21,11,0
0,71,150,6,1,0
0,34,89,16,0,0
0,79,165,26,0,0
0,17,29,3,2,0
0,10,23,1,1,0
0,26,50,2,3,0
0,75,157,27,2,0
0,237,590,65,4,0
0,70,167,24,1,0
0,31,84,10,1,0
0,5,10,0,0,0
0,10,19,0,15,0
0,20,34,0,2,0
0,49,77,9,0,0
0,36,57,6,0,0
0,11,18,1,1,0
0,141,273,16,1,0
0,4,23,0,0,0
0,98,147,30,1,0
0,28,41,15,0,0
0,140,375,37,11,0
0,0,2,0,0,0
0,0,2,0,0,0
0,1,7,12,0,0
1,0,6,0,0,0
0,53,0,4,3,0
0,0,60,2,2,0
0,0,26,0,1,0
