I,R,C,W,E,F
0,2,14,2,1,0
0,0,1,0,0,0
0,0,3,0,0,0
0,0,1,1,0,0
0,0,2,0,0,0
0,0,1,0,0,0
0,0,1,0,0,0
0,3,17,3,0,0
0,0,1,2,0,0
0,0,2,0,0,0
0,3,44,6,0,0
0,0,2,0,0,0
0,0,4,4,0,0
0,0,1,0,0,0
0,0,9,0,0,0
0,0,24,8,0,0
0,0,4,0,0,0
0,2,16,1,0,0
0,0,6,0,0,0
0,0,14,0,0,0
0,0,6,11,0,0
0,6,44,11,0,0
0,0,7,1,0,0
0,1,3,2,0,0
0,0,3,8,0,0
0,0,2,0,0,0
0,2,15,0,0,0
0,4,7,0,2,0
0,2,26,0,1,0
0,2,8,0,0,0
0,0,2,0,0,0
0,0,3,5,0,0
0,0,1,0,0,0
0,0,8,8,1,0
0,0,5,0,0,0
0,0,1,4,0,0
0,0,1,0,0,0
0,0,12,5,0,0
0,2,2,0,0,0
0,0,4,0,0,0
0,0,1,0,0,0
0,2,7,8,1,0
0,0,1,0,0,0
0,0,8,0,0,0
0,0,1,0,1,0
0,0,13,7,4,0
0,2,7,0,0,0
0,0,0,1,0,0
0,0,4,0,0,0
0,0,6,3,0,0
0,0,1,1,0,0
0,0,2,2,0,0
0,0,5,0,0,0
0,0,1,0,0,0
0,0,1,0,0,0
0,0,1,0,0,0
0,0,1,0,0,0
2,1,42,4,0,0
0,0,3,0,0,0
3,0,13,0,0,0
0,0,2,0,0,0
0,0,1,0,0,0
0,0,2,0,0,0
0,0,2,0,0,0
0,0,4,0,0,0
2,0,6,0,0,0
0,1,8,1,1,0
0,1,4,0,0,0
0,0,1,0,0,0
0,0,6,1,0,0
0,2,11,5,0,0
0,1,13,1,0,0
0,0,2,0,0,0
0,0,8,0,0,0
0,2,6,5,1,0
0,0,2,0,0,0
0,1,5,0,1,0
0,1,10,0,1,0
0,2,5,2,0,0
0,0,3,0,0,0
0,0,1,0,0,0
0,0,5,0,0,0
0,0,2,1,0,0
0,2,37,3,0,0
0,0,3,0,0,0
0,0,0,1,0,0
0,0,1,0,0,0
0,0,15,0,0,0
0,0,3,0,1,0
0,1,6,1,1,0
0,0,6,5,0,0
0,0,2,0,0,0
0,0,1,0,0,0
0,0,14,0,0,0
0,0,4,0,0,0
0,0,13,2,0,0
0,0,1,0,0,0
0,0,5,0,0,0
0,6,56,1,0,0
0,0,4,0,0,0
0,0,1,0,0,0
0,6,7,0,0,0
0,2,11,13,0,0
0,2,0,0,0,0
0,2,4,0,0,0
0,0,1,0,0,0
0,0,5,0,0,0
0,0,1,1,0,0
0,0,1,0,0,0
0,0,4,3,0,0
0,0,2,0,0,0
0,8,27,5,0,0
0,0,2,3,0,0
0,0,4,0,0,0
0,0,13,0,0,0
0,0,1,0,0,0
0,0,2,0,0,0
0,2,12,8,0,0
0,0,1,0,0,0
0,0,2,0,0,0
0,0,13,0,0,0
0,0,2,0,0,0
0,0,5,0,0,0
0,0,10,4,2,0
0,0,2,5,0,0
0,1,2,0,0,0
0,0,2,0,0,0
0,0,9,0,0,0
0,10,50,13,2,0
0,2,20,2,2,0
0,1,4,0,0,0
0,8,38,42,11,0
0,4,5,0,1,0
0,0,5,0,1,0
0,0,1,0,0,0
0,0,4,4,0,0
0,0,3,1,0,0
0,0,4,0,0,0
0,0,12,1,0,0
0,0,3,0,0,0
0,0,1,0,0,0
0,4,15,0,0,0
0,0,10,1,0,0
0,0,0,1,0,0
0,6,10,1,0,0
0,1,3,0,1,0
0,0,0,2,0,0
0,0,5,0,1,0
0,0,4,0,0,0
0,1,7,2,0,0
0,0,7,0,0,0
0,3,44,18,0,0
0,0,1,1,0,0
0,0,12,0,0,0
0,0,3,3,2,0
0,0,3,0,0,0
0,0,3,0,0,0
0,0,4,1,0,0
0,0,3,1,0,0
0,2,7,0,0,0
0,0,1,0,0,0
0,0,3,1,0,0
0,0,1,0,0,0
0,0,1,0,0,0
0,0,1,1,0,0
0,0,6,0,0,0
0,0,1,1,0,0
0,0,2,1,0,0
0,0,1,0,0,0
0,0,1,0,0,0
0,0,4,0,0,0
0,0,4,0,0,0
0,5,43,3,10,0
0,0,10,1,0,0
0,0,1,0,0,0
0,0,4,0,0,0
0,2,11,15,0,0
0,0,6,6,0,0
0,1,5,0,0,0
0,0,1,0,0,0
0,0,1,0,0,0
0,2,2,0,0,0
0,0,7,0,0,0
0,0,1,0,0,0
0,0,1,2,0,0
0,0,3,0,0,0
12,2,10,0,0,0
0,0,1,0,0,0
0,0,3,1,0,0
0,1,2,0,0,0
0,0,3,0,0,0
0,0,4,1,0,0
0,0,2,0,0,0
0,0,4,0,0,0
0,0,3,1,0,0
0,0,6,0,0,0
0,1,16,2,0,0
0,0,1,0,0,0
0,1,9,1,0,0
0,0,1,0,0,0
0,0,1,0,0,0
0,0,1,0,0,0
0,4,92,0,0,0
0,0,4,1,0,0
0,0,4,0,0,0
1,0,70,3,3,0
0,0,2,0,0,0
0,0,4,2,0,0
0,1,42,43,2,0
0,0,1,0,0,0
0,0,0,1,0,0
0,0,1,0,0,0
0,5,32,4,0,0
0,0,4,0,0,0
0,0,13,1,0,0
0,2,16,9,0,0
0,0,32,2,0,0
0,0,4,0,0,0
0,0,1,0,0,0
0,47,4,2,0,0
