I,R,C,W,E,F
0,0,22,1,0,0
0,0,14,0,1,0
0,0,9,0,1,0
0,0,4,0,0,0
0,4,10,26,2,0
0,1,5,0,0,0
0,1,2,2,0,0
0,1,5,0,0,0
11,29,45,25,7,0
0,0,1,17,0,0
0,1,2,0,0,0
3,16,22,4,0,0
0,4,2,0,0,0
0,1,2,1,1,0
0,0,2,0,0,0
0,2,5,0,0,0
0,3,6,1,0,0
0,0,3,0,1,0
1,10,30,1,4,0
4,4,17,1,0,0
1,13,15,3,0,0
0,0,2,0,0,0
0,0,1,0,0,0
0,0,9,1,1,0
0,3,13,19,0,0
0,0,3,1,0,0
0,0,6,4,0,0
0,5,5,11,0,0
0,2,4,8,0,0
0,0,12,5,0,0
0,2,6,24,0,0
0,0,39,12,2,0
0,0,12,1,1,0
0,0,1,0,1,0
0,0,16,1,1,0
0,0,5,5,0,0
0,0,3,5,0,0
0,0,5,4,0,0
0,0,27,0,2,0
0,0,5,1,0,0
0,0,5,0,0,0
0,0,3,4,0,0
0,0,18,0,0,0
0,0,6,0,0,0
0,0,3,0,0,0
0,0,20,1,1,0
0,0,6,0,0,0
0,0,4,0,0,0
0,0,4,4,0,0
0,0,12,0,0,0
0,0,35,0,3,0
0,0,33,5,0,0
0,0,8,11,0,0
0,0,9,3,0,0
0,0,18,0,1,0
0,56,67,5,0,0
0,0,23,0,1,0
