I,R,C,W,E,F
0,0,5,3,0,0
0,28,79,43,8,0
0,27,92,52,16,0
0,1,4,11,8,0
0,0,40,1,0,0
0,0,57,2,0,0
0,1,1,0,1,0
0,0,5,0,0,0
0,0,4,0,2,0
0,1,5,2,0,0
0,2,16,16,0,0
0,0,3,2,0,0
0,5,18,5,5,0
0,0,1,3,0,0
0,3,6,4,1,0
0,0,2,0,0,0
0,0,4,0,0,0
0,5,80,10,4,0
0,5,56,6,2,0
0,5,123,6,3,0
0,1,0,0,0,0
0,0,0,18,0,0
0,7,0,2,0,0
0,1,0,2,0,0
0,13,2,1,1,0
0,2,3,2,0,0
0,2,1,0,0,0
0,4,1,0,0,0
0,4,14,0,0,0
0,0,6,6,5,0
0,16,20,2,2,0
0,59,1,3,0,0
0,7,10,1,1,0
0,7,7,0,0,0
0,0,0,3,0,0
0,2,1,2,0,0
0,0,17,0,0,0
0,0,0,4,0,0
0,1,5,0,0,0
0,0,0,1,0,0
0,29,55,15,1,0
0,0,2,0,0,0
0,30,132,50,0,0
0,0,1,0,0,0
0,2,4,3,0,0
0,0,2,0,0,0
0,2,8,3,2,0
0,0,3,2,0,0
0,1,0,0,0,0
0,81,4,146,2,0
0,3,1,1,0,0
0,0,1,12,0,0
0,0,4,10,0,0
0,0,19,4,1,0
11,4,7,3,4,0
0,0,0,3,0,0
0,5,1,0,0,0
0,18,225,2,1,0
0,4,1,6,1,0
0,6,25,11,0,0
0,2,5,8,0,0
0,0,3,8,2,0
0,0,2,0,0,0
0,0,4,23,0,0
0,4,7,1,0,0
0,4,32,9,1,0
0,68,179,56,1,0
0,6,9,2,0,0
0,4,34,16,12,0
0,2,11,0,0,0
0,0,2,0,0,0
0,88,109,0,0,0
0,0,7,1,3,0
0,0,15,3,4,0
0,0,1,0,1,0
0,0,1,1,1,0
0,11,52,4,12,0
0,0,2,0,1,0
