I,R,C,W,E,F
0,1,28,3,0,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,1,0
0,3,24,4,3,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,10,2,3,0
0,0,0,0,2,0
0,0,0,0,1,0
0,20,54,8,7,0
0,2,11,17,0,0
0,3,5,0,0,0
0,1,8,0,0,0
0,1,13,0,10,0
0,3,24,3,1,0
0,51,337,43,12,0
0,0,0,0,1,0
0,11,38,3,19,0
0,6,17,5,9,0
0,3,68,22,2,0
0,3,11,8,3,0
0,0,0,0,1,0
0,0,1,0,0,0
0,2,9,3,1,0
0,0,0,0,1,0
0,0,0,0,1,0
0,3,7,4,2,0
0,0,0,0,1,0
0,6,43,14,5,0
0,0,189,208,0,0
0,16,405,393,5,0
0,0,31,7,1,0
0,8,186,145,9,0
0,13,120,22,5,0
0,0,449,377,0,0
0,1,41,43,0,0
0,38,354,37,25,0
0,3,18,4,0,0
0,0,113,42,0,0
0,0,9,7,0,0
0,4,144,104,0,0
0,1,70,7,0,0
0,9,119,102,3,0
0,7,272,236,3,0
0,7,156,169,4,0
0,0,17,1,3,0
0,0,12,6,0,0
0,7,238,230,11,0
0,2,241,165,5,0
0,19,247,274,3,0
0,18,238,257,4,0
0,0,3,1,0,0
0,1,53,53,0,0
0,0,28,26,0,0
0,0,46,56,0,0
0,0,46,34,0,0
0,0,11,8,0,0
0,0,43,14,1,0
0,4,130,126,7,0
0,0,0,0,1,0
0,11,20,13,0,0
0,1,17,13,4,0
0,5,10,33,8,0
0,2,22,2,6,0
0,1,2,0,2,0
0,2,11,2,2,0
0,3,15,21,6,0
0,1,9,16,6,0
0,0,5,2,12,0
0,0,0,0,1,0
0,3,10,7,1,0
0,0,0,0,1,0
0,0,4,0,0,0
0,0,0,1,0,0
0,8,32,7,8,0
0,0,0,0,1,0
0,1,3,3,0,0
0,0,8,0,0,0
0,4,98,19,5,0
0,4,20,2,4,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,1,0
0,3,11,11,4,0
0,3,12,6,0,0
0,0,15,7,3,0
0,5,15,4,4,0
0,1,10,0,0,0
0,0,0,0,1,0
0,4,17,2,0,0
0,0,0,0,1,0
0,5,39,9,4,0
0,4,78,2,0,0
0,0,0,0,1,0
0,0,0,0,1,0
0,11,47,1,6,0
0,0,0,0,1,0
0,2,43,5,5,0
0,16,26,15,7,0
0,4,46,11,4,0
0,1,2,0,2,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,1,0
0,1,16,3,5,0
0,2,25,6,0,0
0,1,9,5,4,0
0,1,24,3,0,0
0,16,30,7,11,0
0,3,25,0,0,0
0,90,0,0,1,0
0,1,29,1,0,0
0,0,9,0,0,0
0,0,0,0,1,0
0,0,0,0,1,0
0,1,8,5,3,0
0,0,0,0,1,0
0,0,65,1,11,0
0,0,44,0,2,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,35,1,10,0
0,0,34,1,2,0
0,0,46,1,2,0
0,0,10,3,0,0
0,1,5,1,2,0
0,0,0,0,1,0
0,1,28,0,7,0
0,0,0,0,1,0
0,2,23,3,0,0
0,0,25,0,5,0
0,0,3,0,0,0
0,3,22,2,0,0
0,0,0,0,1,0
0,1,27,2,3,0
0,0,10,1,0,0
0,1,37,1,0,0
0,3,52,1,0,0
0,1,34,1,2,0
0,0,0,0,1,0
0,0,179,1,0,0
0,0,13,0,2,0
0,0,44,0,2,0
0,0,17,0,4,0
0,0,11,2,2,0
0,0,13,0,2,0
0,0,9,0,6,0
0,0,12,0,2,0
0,1,9,1,2,0
0,1,8,0,1,0
0,0,8,2,6,0
0,2,7,0,0,0
0,0,8,1,0,0
0,0,0,0,1,0
0,0,6,0,0,0
0,0,6,2,0,0
0,0,15,0,0,0
0,0,3,0,0,0
0,0,5,1,0,0
0,0,4,0,2,0
0,0,4,0,0,0
0,0,4,0,0,0
0,0,6,0,0,0
0,0,5,0,1,0
0,0,3,1,0,0
0,0,5,0,0,0
0,0,6,2,0,0
0,0,3,0,1,0
0,0,4,2,0,0
0,0,13,18,2,0
0,0,8,9,0,0
0,0,15,0,0,0
0,0,6,2,2,0
0,3,77,3,3,0
0,0,8,0,1,0
0,0,0,0,1,0
0,0,4,1,1,0
0,0,15,0,4,0
0,0,16,4,4,0
0,2,18,0,0,0
0,0,9,1,2,0
0,1,41,1,3,0
0,0,9,3,0,0
0,0,9,1,2,0
0,0,5,1,6,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,3,0,0,0
0,0,0,0,1,0
0,0,16,0,14,0
0,4,58,4,7,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,7,0,4,0
0,2,51,4,7,0
0,2,28,1,0,0
0,0,0,0,1,0
0,0,23,0,0,0
0,0,0,0,1,0
0,0,19,0,1,0
0,0,0,0,1,0
0,2,32,5,1,0
0,4,26,1,4,0
0,0,61,4,0,0
0,0,0,0,1,0
0,2,35,0,2,0
0,1,24,1,6,0
0,0,3,0,3,0
0,0,0,0,1,0
0,0,13,1,0,0
0,0,0,0,1,0
0,2,162,2,18,0
0,0,1,0,0,0
0,0,59,1,0,0
0,0,0,0,1,0
0,0,12,3,4,0
0,0,9,1,4,0
