I,R,C,W,E,F
0,0,2,0,0,0
0,7,12,7,0,0
0,0,10,14,0,0
0,5,19,7,0,0
0,0,1,0,0,0
0,0,36,25,7,0
0,5,25,6,0,0
0,6,0,0,0,0
0,0,1,1,0,0
0,9,54,8,0,0
0,0,1,0,0,0
0,0,4,0,0,0
0,0,13382,0,0,0
0,0,2,0,0,0
0,1,5,1,1,0
0,7,23,1,1,0
0,0,15,3,0,0
0,5,17,2,0,0
0,0,14,1,0,0
0,1,5,0,0,0
0,0,10,0,0,0
0,0,2,0,0,0
0,1,9,3,0,0
0,0,1265,0,0,0
0,0,9,4,0,0
0,0,7891,0,0,0
0,0,2,0,0,0
0,0,5172,0,0,0
0,0,4,0,0,0
0,0,5931,0,0,0
0,0,4,0,0,0
0,2,15,2,0,0
0,0,7427,0,0,0
0,2,6997,5,0,0
0,0,4457,0,0,0
0,0,5275,1,0,0
0,0,4455,0,0,0
0,0,4276,0,0,0
0,0,4478,0,0,0
0,0,4277,0,0,0
0,0,64,2,0,0
0,0,8,4,0,0
0,0,2,0,0,0
0,0,2829,0,0,0
0,3,17,6,0,0
0,0,5,0,0,0
0,0,9,4,0,0
0,3,29,21,0,0
0,1,6,4,0,0
0,0,2,1,0,0
0,0,5,2,0,0
0,4,14,8,3,0
0,11,11,16,0,0
0,2,7,9,4,0
0,8,29,6,6,0
0,0,1,1,0,0
0,1,2,0,0,0
0,0,2,5,0,0
0,0,1,0,0,0
0,0,1,0,0,0
0,0,3,2,1,0
0,8,72,8,3,0
0,0,1,1,0,0
0,0,7,1,0,0
0,1,8,3,0,0
0,4,8,7,2,0
0,8,19,2,0,0
0,5,15,3,0,0
0,6,34,18,9,0
0,0,3,0,0,0
0,1,3,0,0,0
0,37,24,7,5,0
0,0,6,1,0,0
0,119,273,16,1,0
