I,R,C,W,E,F
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,1,0
0,1,7,1,1,0
0,0,0,0,1,0
0,11,58,10,17,0
0,0,21,1,21,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,10,6,4,0
0,0,0,0,1,0
0,0,7,3,0,0
0,0,0,0,2,0
0,0,14,5,0,0
0,0,0,0,1,0
0,0,6,8,1,0
0,0,0,0,1,0
0,0,1,6,0,0
0,0,5,1,0,0
0,0,7,1,0,0
0,0,1,2,0,0
0,0,2,3,0,0
0,0,2,2,0,0
0,0,1,2,1,0
0,0,1,3,0,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,1,0
0,1,36,16,13,0
0,1,23,14,6,0
0,3,13,5,3,0
0,0,0,0,1,0
0,0,15,3,4,0
0,0,8,4,2,0
0,0,0,0,2,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,20,2,5,0
0,0,29,5,16,0
0,0,3,0,0,0
0,1,8,29,0,0
0,0,0,0,1,0
0,0,4,0,1,0
0,0,0,0,1,0
0,3,8,5,2,0
0,0,0,0,1,0
0,0,0,0,1,0
0,2,6,0,2,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,2,0,0,0
0,0,1,0,0,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,1,0
0,1,1,0,0,0
0,1,19,2,1,0
0,0,0,0,1,0
0,0,0,0,1,0
0,4,27,6,11,0
0,0,2,0,2,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,5,0,0,0
0,0,13,3,0,0
0,0,0,0,1,0
0,1,10,4,6,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,5,4,1,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,4,2,0,0
0,18,131,17,16,0
0,0,0,0,1,0
0,0,9,4,0,0
0,0,0,0,1,0
0,0,4,130,0,0
0,0,4,0,1,0
0,0,0,0,1,0
0,0,4,0,2,0
0,0,3,1,0,0
0,0,0,0,1,0
0,1,18,3,4,0
0,0,0,0,1,0
0,3,16,1,0,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,1,0
0,13,82,40,78,0
0,0,1,0,0,0
0,0,3,2,3,0
0,0,4,1,5,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,1,0
0,6,0,0,1,0
0,0,126,3,261,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,6,3,0,0
0,0,0,0,1,0
0,0,13,5,0,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,1,0
0,1,9,1,0,0
0,0,21,1,6,0
0,0,0,0,1,0
0,0,0,0,1,0
0,4,32,13,0,0
0,0,0,0,1,0
0,0,0,0,1,0
0,10,41,19,5,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,9,1,1,0
0,0,0,0,1,0
0,0,54,5,3,0
0,0,0,0,1,0
0,2,50,10,3,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,11,1,2,0
0,0,15,6,4,0
0,3,49,2,5,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,5,1,2,0
0,0,27,1,2,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,1,0
0,1,10,1,0,0
0,0,0,0,3,0
