I,R,C,W,E,F
0,0,4,9,1,0
0,32,34,2,1,0
0,2,206,321,5,0
0,0,82,207,1,0
0,0,1,3,0,0
0,0,2,0,0,0
0,0,1,2,0,0
0,0,2,1,0,0
0,2,15,10,4,0
0,0,1,0,1,0
0,0,7,3,3,0
0,0,2,1,3,0
0,1,6,98,3,0
0,0,2,3,0,0
0,0,1,1,0,0
0,0,3,5,4,0
0,0,3,1,0,0
0,0,2,1,1,0
0,1,7,1,0,0
0,0,11,4,0,0
0,0,9,2,2,0
0,0,8,1,0,0
0,0,8,1,0,0
0,0,7,0,0,0
0,0,7,4,0,0
0,1,4,2,0,0
0,4,17,4,1,0
0,0,18,6,0,0
0,1,27,44,1,0
0,0,134,290,1,0
0,0,170,391,1,0
0,0,102,116,13,0
0,1,53,89,1,0
0,0,73,163,1,0
0,1,26,44,1,0
0,2,247,79,1,0
0,20,757,1122,1,0
0,1,32,56,1,0
0,27,1581,2058,29,0
0,3,126,183,1,0
0,5,488,981,9,0
0,0,24,51,1,0
0,0,142,328,1,0
0,3,149,198,5,0
0,0,77,165,1,0
0,0,2,12,1,0
0,2,315,475,11,0
0,0,18,40,1,0
0,2,1,27,1,0
0,0,24,42,1,0
0,0,10,6,0,0
0,0,22,3,0,0
0,1,13,64,3,0
0,0,28,97,2,0
0,0,25,119,0,0
0,0,22,101,1,0
0,0,5,25,1,0
0,0,5,22,1,0
0,1,7,42,1,0
