I,R,C,W,E,F
0,9,31,1,0,0
0,0,2,0,0,0
0,3,5,0,4,0
0,2,3,1,1,0
0,1,3,2,1,0
0,1,2,0,3,0
0,1,15,0,2,0
0,1,4,0,1,0
0,1,3,0,1,0
0,1,4,0,2,0
0,1,3,0,1,0
0,1,3,0,1,0
0,1,4,0,1,0
0,1,4,0,1,0
0,1,4,0,1,0
0,5,16,3,7,0
0,12,19,6,1,0
0,0,0,4,2,0
0,8,9,2,8,0
0,8,56,2,10,0
0,2,16,0,2,0
0,2,0,0,2,0
0,3,4,0,2,0
0,2,4,0,5,0
0,0,3,0,2,0
0,11,12,10,7,0
0,0,2,0,0,0
0,0,1,0,1,0
0,0,1,1,1,0
0,0,1,0,0,0
0,2,6,0,4,0
0,0,1,0,4,0
0,1,9,0,2,0
0,0,1,68,0,0
0,0,2,0,3,0
0,0,5,0,2,0
0,0,2,0,2,0
0,0,4,0,0,0
0,1,2,0,1,0
0,1,6,1,2,0
0,2,6,2,2,0
0,2,10,1,6,0
0,2,11,1,4,0
0,3,7,1,3,0
0,2,9,5,4,0
0,1,7,0,4,0
0,1,3,0,1,0
0,1,7,0,3,0
0,1,3,0,1,0
0,1,5,0,2,0
0,1,3,0,1,0
0,1,5,0,2,0
0,1,6,0,2,0
0,5,10,6,7,0
0,5,8,2,1,0
0,23,35,12,11,0
0,0,3,0,1,0
0,9,212,24,14,0
0,0,3,0,2,0
0,22,13,27,12,0
