I,R,C,W,E,F
0,1,23,3,0,0
0,0,18,7,0,0
0,0,4,0,0,0
0,0,2,0,0,0
0,16,63,13,6,0
0,0,3,0,0,0
0,0,3,0,2,0
0,0,1,0,0,0
0,0,1,1,0,0
0,0,1,0,0,0
0,3,4,2,2,0
0,0,2,2,2,0
0,0,1,0,1,0
0,0,3,1,0,0
0,3,7,2,0,0
0,0,3,0,0,0
0,0,1,0,0,0
0,1,18,1,0,0
0,0,4,0,1,0
0,1,7,1,0,0
0,5,25,20,8,0
0,1,5,5,5,0
0,4,73,9,1,0
0,4,20,10,1,0
0,2,11,1,1,0
0,3,11,6,0,0
0,7,9,7,3,0
0,1,6,1,2,0
0,4,12,11,1,0
0,2,17,23,0,0
0,9,10,0,3,0
0,28,137,47,8,0
0,0,36,2,10,0
0,6,30,11,5,0
0,3,41,3,0,0
0,10,14,8,1,0
0,14,34,3,5,0
0,0,2,0,2,0
0,1,5,0,0,0
0,4,49,4,18,0
0,54,113,19,6,0
0,6,41,5,2,0
0,6,55,7,3,0
0,3,286,6,20,0
0,4,31,7,0,0
0,2,12,0,2,0
0,0,2,0,1,0
