I,R,C,W,E,F
0,0,3,1,0,0
0,5,18,4,0,0
0,0,11,0,0,0
0,0,2,0,0,0
0,10,66,28,2,0
0,4,21,17,0,0
0,2,20,18,0,0
0,2,16,15,0,0
0,3,14,20,0,0
0,8,70,51,0,0
0,10,112,22,3,0
0,0,18,15,0,0
0,1,3,0,0,0
0,0,6,0,0,0
0,3,50,16,0,0
0,0,4,18,0,0
0,3,10,21,0,0
0,0,20,15,1,0
0,3,31,17,2,0
0,0,18,20,0,0
0,2,7,8,0,0
0,9,36,20,0,0
0,39,91,8,0,0
0,4,23,3,0,0
0,12,54,31,1,0
0,1,20,5,0,0
0,0,15,1,0,0
0,3,37,19,0,0
0,5,57,26,0,0
0,1,12,21,0,0
0,15,246,23,0,0
0,0,41,1,0,0
0,2,30,24,3,0
0,0,23,20,2,0
0,0,66,19,0,0
0,1,12,16,0,0
0,1,10,16,0,0
0,3,34,1,0,0
0,12,108,26,0,0
0,4,7,2,0,0
0,0,6,0,0,0
0,3,31,5,2,0
0,0,19,8,0,0
0,1,6,14,0,0
0,1,3,0,0,0
0,0,4,0,0,0
0,1,16,19,0,0
0,0,3,20,0,0
0,8,29,22,0,0
0,2,14,19,0,0
0,2,17,20,0,0
0,12,143,25,0,0
0,1,32,17,0,0
0,1,10,3,0,0
0,0,7,0,0,0
0,0,24,15,0,0
0,1,31,4,0,0
0,2,24,25,0,0
0,5,60,40,0,0
0,24,109,25,0,0
0,6,142,44,3,0
0,22,46,30,0,0
0,0,2,0,0,0
0,0,2,0,0,0
0,1,95,39,0,0
0,0,45,20,0,0
0,3,334,38,3,0
0,0,21,7,0,0
0,0,101,18,0,0
0,3,45,14,1,0
0,0,12,0,0,0
