I,R,C,W,E,F
0,0,5,0,0,0
0,4,15,3,0,0
0,0,1,0,0,0
0,975,0,0,0,0
0,1,2,1,0,0
0,3,14,2,2,0
0,2,7,2,1,0
0,1,11,0,3,0
0,5,15,3,2,0
0,0,3,0,1,0
0,0,2,0,1,0
0,0,10,7,0,0
0,0,2,0,2,0
0,1,1,1,1,0
0,3,50,8,15,0
0,0,3,0,1,0
0,0,3,1,3,0
0,0,9,1,3,0
0,6,15,4,11,0
0,0,2,0,2,0
0,1,6,3,1,0
0,0,1,0,0,0
0,1,10,0,3,0
0,1,7,1,3,0
0,0,3,1,1,0
0,1,3,0,2,0
0,0,4,1,1,0
0,0,4,0,1,0
0,0,2,1,4,0
0,1,1,0,5,0
0,1,1,2,3,0
0,2,3,1,0,0
0,2,3,2,1,0
0,2,3,2,2,0
0,6,9,4,2,0
0,4,6,2,4,0
0,2,6,1,3,0
0,6,12,6,2,0
0,2,4,2,3,0
0,2,3,2,1,0
0,2,6,2,1,0
0,2,4,2,4,0
0,1,1,0,1,0
0,2,8,2,2,0
0,2,4,1,1,0
0,0,7,0,1,0
0,2,3,1,2,0
0,2,7,3,5,0
0,1,1,0,2,0
0,1,24,0,3,0
0,1,2,0,2,0
0,2,6,0,1,0
0,3,46,6,6,0
0,0,5,4,3,0
0,2,3,2,1,0
0,2,10,2,1,0
0,0,2,0,0,0
0,1,24,0,5,0
0,1,4,1,2,0
0,1,4,1,3,0
0,1,4,1,3,0
0,2,23,2,8,0
0,5,7,10,2,0
0,4,7,0,2,0
0,0,2,0,1,0
0,0,7,1,2,0
0,0,6,0,2,0
0,0,6,0,1,0
0,1,25,2,6,0
0,2,48,9,13,0
0,0,1,0,0,0
0,1,13,5,1,0
0,3,4,0,3,0
0,0,4,0,5,0
0,8,19,3,7,0
0,7,21,4,7,0
0,1,9,0,3,0
0,1,3,0,1,0
0,5,25,2,4,0
0,2,1,2,1,0
0,2,1,2,1,0
0,2,2,3,2,0
0,5,10,14,5,0
0,4,10,5,6,0
0,2,2,2,2,0
0,3,15,6,3,0
0,2,8,5,3,0
0,2,3,0,4,0
0,2,4,6,2,0
0,4,10,9,4,0
0,2,10,3,5,0
0,1,4,7,5,0
0,2,10,3,5,0
0,2,32,7,6,0
0,2,2,1,2,0
0,3,20,10,6,0
0,2,13,4,3,0
0,2,5,3,3,0
0,4,6,3,4,0
0,2,2,2,4,0
0,5,15,3,6,0
0,2,2,1,3,0
0,1,5,0,0,0
0,6,5,0,2,0
0,1,6,0,1,0
0,1,3,1,1,0
0,6,19,4,3,0
0,4,3,16,6,0
0,0,4,1,1,0
0,5,43,29,18,0
0,14,64,51,12,0
0,0,2,0,2,0
0,0,6,0,1,0
0,1,5,5,3,0
0,2,40,21,2,0
0,0,6,0,6,0
0,0,6,0,2,0
0,11,255,15,35,0
0,4,50,33,23,0
0,6,9,4,3,0
0,2,7,1,4,0
0,1,6,1,1,0
0,1,11,3,2,0
0,0,1,0,0,0
0,1,13,0,4,0
0,1,10,3,5,0
0,1,4,0,2,0
0,0,4,0,1,0
0,2,19,10,5,0
0,0,2,0,1,0
0,0,5,9,1,0
0,0,1,0,3,0
0,2,3,2,1,0
0,3,26,4,6,0
0,4,22,7,5,0
0,5,11,10,3,0
0,1,12,0,3,0
0,10,28,20,6,0
0,0,2,0,1,0
0,0,6,10,3,0
0,0,30,0,1,0
0,3,37,6,11,0
0,4,87,21,13,0
0,0,11,0,2,0
0,1,37,1,2,0
0,0,1,0,0,0
0,1,16,0,3,0
0,1,20,1,4,0
0,0,6,1,1,0
0,4,15,2,4,0
0,1,8,1,0,0
0,2,11,0,0,0
0,3,19,9,1,0
0,0,1,0,0,0
0,1,15,0,4,0
0,4,25,9,5,0
0,0,3,1,1,0
0,0,2,0,1,0
0,0,6,4,2,0
0,0,12,0,1,0
0,0,21,9,4,0
0,6,12,1,1,0
0,3,35,0,4,0
0,1,7,0,1,0
0,1,3,1,1,0
0,5,21,13,5,0
0,2,20,12,1,0
0,0,4,0,1,0
0,0,1,0,0,0
0,2,25,4,8,0
0,5,15,11,6,0
0,1,2,0,0,0
0,2,11,0,0,0
0,7,82,18,2,0
0,0,1,0,0,0
0,1,18,0,4,0
0,1,5,0,2,0
0,5,14,3,4,0
0,5,30,9,2,0
0,3,6,0,1,0
0,0,9,3,1,0
0,0,10,0,1,0
0,3,62,12,11,0
0,0,2,0,1,0
0,1,4,1,0,0
0,3,6,1,2,0
0,0,3,4,3,0
0,0,1,0,0,0
0,1,18,0,4,0
0,1,4,1,2,0
0,14,24,8,5,0
0,0,3,0,1,0
0,0,6,0,1,0
0,0,11,0,1,0
0,0,2,0,1,0
0,3,49,14,10,0
0,0,1,0,0,0
0,1,11,0,3,0
0,2,8,5,5,0
0,0,3,0,1,0
0,1,2,3,2,0
0,2,9,1,2,0
0,0,8,0,1,0
0,0,15,2,6,0
0,34,168,31,9,0
0,1,13,0,2,0
0,34,327,35,10,0
0,16,76,10,4,0
0,0,2,4,3,0
0,0,27,0,0,0
0,3,5,2,3,0
0,3,11,2,5,0
0,2,2,0,2,0
0,3,12,4,3,0
0,2,3,2,1,0
0,6,28,2,7,0
0,2,4,3,2,0
0,3,18,2,2,0
0,1,8,2,1,0
0,1,125,0,3,0
0,1,4,0,1,0
0,1,5,0,1,0
0,1,5,1,1,0
0,1,3,1,1,0
0,1,5,0,1,0
0,1,3,0,1,0
0,1,3,0,1,0
0,1,12,2,1,0
0,1,6,0,1,0
0,1,12,1,1,0
0,1,4,0,1,0
0,1,5,2,1,0
0,1,11,0,2,0
0,1,4,2,1,0
0,1,13,0,3,0
0,39,415,31,11,0
0,1,4,0,2,0
0,0,7,0,1,0
0,0,2,0,0,0
0,0,12,1,3,0
0,4,8,0,1,0
0,0,1,1,1,0
0,0,8,4,1,0
0,7,37,16,5,0
0,0,65,0,1,0
0,2,93,6,10,0
0,26,309,34,19,0
0,2,17,1,2,0
0,1,1,1,4,0
0,18,75,3,6,0
0,1,3,0,1,0
0,1,7,0,1,0
0,1,5,2,2,0
0,3,5,1,1,0
0,0,5,0,2,0
0,0,7,0,1,0
0,0,11,3,8,0
0,4,9,0,2,0
0,1,10,0,2,0
0,0,10,0,1,0
0,2,6,0,1,0
0,8,120,13,8,0
0,0,8,4,3,0
0,2,2,1,1,0
0,2,3,2,1,0
0,0,2,0,0,0
0,1,35,0,5,0
0,1,4,1,2,0
0,1,3,1,2,0
0,1,7,1,3,0
0,1,47,3,3,0
0,1,4,1,3,0
0,12,45,7,8,0
0,5,35,10,2,0
0,4,7,0,2,0
0,0,2,0,1,0
0,0,12,1,2,0
0,0,6,0,2,0
0,0,33,0,1,0
0,7,17,7,9,0
0,4,99,15,13,0
0,0,2,0,2,0
0,1,2,0,1,0
0,1,29,4,4,0
0,0,1,0,0,0
0,1,16,0,3,0
0,3,22,2,5,0
0,1,4,3,2,0
0,0,12,0,1,0
0,0,12,0,1,0
0,0,2,1,0,0
0,0,25,3,7,0
0,1,2,0,1,0
0,1,2,0,0,0
0,4,37,4,3,0
0,0,3,4,3,0
0,2,2,3,2,0
0,1,9,0,2,0
0,1,7,0,3,0
0,4,19,4,3,0
0,1,5,0,1,0
0,0,2,0,1,0
0,0,5,0,1,0
0,0,8,0,1,0
0,4,9,6,5,0
0,3,22,5,6,0
0,0,8,0,2,0
0,1,29,1,2,0
0,0,1,0,0,0
0,1,12,0,3,0
0,1,6,2,4,0
0,0,6,1,1,0
