I,R,C,W,E,F
0,0,3,0,0,0
0,0,25,0,0,0
0,0,34,4,3,0
0,0,33,6,2,0
0,0,8,1,0,0
0,0,1,6,0,0
0,0,3,1,0,0
0,11,7,1,3,0
0,0,7,5,8,0
0,0,16,4,5,0
0,0,22,10,7,0
0,0,7,0,0,0
0,0,27,18,1,0
0,0,5,4,7,0
0,0,6,0,5,0
0,0,7,3,1,0
0,0,6,2,0,0
0,0,19,0,0,0
0,0,5,4,6,0
0,0,2,3,0,0
0,0,42,3,1,0
0,0,6,3,5,0
0,0,11,2,0,0
0,0,18,6,6,0
0,0,6,0,0,0
0,0,9,0,7,0
0,0,11,1,14,0
0,0,33,13,0,0
0,0,13,2,3,0
0,0,11,1,3,0
0,0,15,7,2,0
0,1,8,2,1,0
0,0,17,4,1,0
0,1,6,3,1,0
0,0,9,3,12,0
0,0,7,8,3,0
0,0,10,4,13,0
0,1,7,1,5,0
0,0,20,6,20,0
0,0,12,1,15,0
0,0,8,5,9,0
0,0,6,1,0,0
0,0,3,1,0,0
0,0,3,2,2,0
0,0,14,2,10,0
0,0,23,21,2,0
0,0,11,1,1,0
0,0,15,3,1,0
0,0,23,3,2,0
0,0,88,12,4,0
0,0,12,2,2,0
0,0,27,3,3,0
0,0,47,8,3,0
0,0,15,6,2,0
0,0,2,21,0,0
0,0,3,1,25,0
0,0,105,12,5,0
0,0,27,4,2,0
0,0,14,4,2,0
0,1,314,26,8,0
0,0,67,11,4,0
0,0,12,4,3,0
0,0,22,6,5,0
0,0,24,4,4,0
0,0,13,15,0,0
0,0,24,0,0,0
0,1,7,0,0,0
0,0,1,2,0,0
0,0,4,0,0,0
0,0,1,2,0,0
0,2,20,9,0,0
0,0,9,2,0,0
0,0,1,1,0,0
0,0,1,0,0,0
0,1,0,0,0,0
0,0,2,2,0,0
0,1,5,0,0,0
0,0,0,1,0,0
0,2,12,0,0,0
0,11,0,12,0,0
0,1,33,3,0,0
0,0,15,2,3,0
0,2,8,2,1,0
0,0,3,0,0,0
0,0,11,0,0,0
0,18,0,15,0,0
0,0,18,0,0,0
0,5,23,3,1,0
0,0,4,0,0,0
0,0,3,0,0,0
0,1,0,0,0,0
0,3,12,0,0,0
0,1,4,0,0,0
0,1,0,0,0,0
0,0,1,1,0,0
0,0,2,0,0,0
0,0,6,0,0,0
0,4,18,4,1,0
0,2,1,1,0,0
0,1,4,0,0,0
0,1,1,0,0,0
0,1,1,2,0,0
0,1,4,0,0,0
0,3,4,0,0,0
0,2,2,0,2,0
0,1,12,0,0,0
0,0,4,1,2,0
0,8,20,3,0,0
0,0,1,0,0,0
0,0,2,0,0,0
0,0,0,1,0,0
