I,R,C,W,E,F
0,0,9,3,1,0
0,0,8,4,0,0
0,30,45,18,2,0
0,2,26,8,1,0
0,0,5,2,0,0
0,0,10,4,1,0
0,0,3,1,0,0
0,62,268,98,6,0
0,2,7,11,0,0
0,0,11,1,0,0
0,0,15,0,0,0
0,0,2,0,0,0
0,13,51,32,0,0
0,0,16,8,1,0
0,2,17,12,2,0
0,1,7,1,3,0
0,3,25,8,2,0
0,3,23,8,0,0
0,6,14,6,2,0
0,8,12,9,0,0
0,0,8,2,0,0
0,5,46,9,11,0
0,3,17,2,0,0
0,5,31,11,0,0
0,1,9,7,0,0
0,5,18,11,0,0
0,0,0,2,0,0
0,0,3,1,0,0
0,0,8,1,0,0
0,1,52,11,6,0
0,0,7,1,5,0
0,2,10,4,0,0
0,8,45,9,1,0
0,4,6,12,1,0
0,10,25,9,4,0
0,2,30,12,0,0
0,0,3,0,0,0
0,0,26,0,0,0
0,1,90,12,0,0
0,0,21,9,1,0
0,1,70,12,3,0
0,0,51,3,0,0
0,4,6,7,0,0
0,0,6,3,0,0
0,0,26,7,1,0
0,0,13,5,0,0
0,0,2,1,0,0
0,0,2,1,0,0
0,1,26,15,0,0
0,3,19,3,0,0
0,0,65,1,0,0
0,1,7,0,0,0
0,7,122,44,0,0
0,2,109,42,0,0
0,1,14,3,0,0
0,2,14,5,0,0
0,0,9,0,0,0
0,31,96,77,2,0
0,6,17,17,1,0
0,4,9,11,0,0
