I,R,C,W,E,F
0,0,40,0,1,0
0,0,2,0,0,0
0,12,256,22,2,0
0,1,33,9,2,0
0,0,11,0,0,0
0,0,3,0,0,0
0,5,121,6,0,0
0,0,1,0,0,0
0,10,376,6,2,0
0,0,2,0,0,0
0,2,79,15,0,0
0,0,29,0,0,0
0,0,5,1,0,0
0,8,111,10,1,0
0,0,2,0,0,0
0,0,9,0,0,0
0,0,1,0,0,0
0,0,1,0,0,0
0,0,1,0,0,0
0,0,13,4,1,0
0,11,13,2,5,0
0,1,2,0,1,0
0,1,10,0,2,0
0,3,18,1,1,0
0,1,3,1,1,0
0,1,3,0,1,0
0,1,3,0,1,0
0,1,4,0,1,0
0,1,3,0,1,0
0,1,8,1,1,0
0,1,3,1,1,0
0,1,4,0,1,0
0,1,3,0,1,0
0,1,7,1,1,0
0,1,3,0,1,0
0,1,4,1,1,0
0,1,3,1,1,0
0,1,4,1,1,0
0,1,4,0,1,0
0,1,4,0,1,0
0,14,43,8,8,0
0,0,1,1,1,0
0,0,2,0,1,0
0,3,112,2,24,0
0,8,88,4,1,0
0,1,292,122,20,0
0,1,32,2,1,0
0,3,78,6,0,0
0,0,18,1,1,0
0,5,87,1,0,0
0,3,125,12,1,0
0,3,35,8,2,0
0,0,7,0,1,0
0,0,3,0,0,0
0,27,222,11,7,0
0,0,3,0,0,0
0,1,16,0,0,0
0,0,5,1,1,0
0,3,17,0,1,0
0,2,22,3,1,0
0,1,19,0,1,0
0,2,25,3,1,0
0,4,52,3,2,0
0,5,132,16,4,0
0,4,59,2,1,0
0,1,25,4,0,0
0,2,40,4,1,0
0,0,9,3,4,0
0,4,56,4,1,0
0,3,50,1,1,0
0,6,91,0,1,0
0,2,107,5,1,0
0,5,91,6,2,0
0,1,57,0,1,0
0,1,25,1,1,0
0,1,11,1,0,0
0,7,130,22,2,0
0,6,191,31,3,0
0,0,10,1,2,0
0,0,53,7,1,0
0,0,26,2,1,0
0,0,17,1,3,0
0,0,31,30,1,0
0,0,30,5,6,0
0,0,15,31,1,0
0,0,27,0,1,0
0,0,19,30,1,0
0,0,72,37,3,0
0,1,13,3,0,0
0,0,16,1,1,0
0,1,24,0,0,0
0,2,32,1,3,0
0,0,1,0,0,0
0,3,26,8,1,0
0,1,12,1,0,0
0,2,23,1,1,0
0,0,23,0,1,0
0,0,3,1,1,0
0,6,68,5,1,0
0,0,12,2,1,0
0,0,3,0,1,0
0,0,1,0,0,0
0,0,10,1,0,0
0,0,6,0,1,0
0,0,4,0,1,0
0,0,8,1,1,0
0,0,22,0,1,0
0,0,2,0,1,0
0,1,29,3,1,0
0,0,4,1,0,0
0,0,7,0,1,0
0,0,32,0,1,0
0,3,29,7,2,0
0,3,18,0,0,0
0,91,109,3,2,0
0,0,1,0,0,0
0,0,1,0,0,0
0,1,14,5,0,0
0,2,27,0,32,0
0,5,42,1,54,0
0,0,20,0,23,0
0,4,19,2,14,0
0,2,107,10,1,0
0,0,8,0,1,0
0,2,26,9,0,0
0,0,16,0,0,0
0,0,30,1,0,0
0,10,164,4,0,0
0,8,76,17,3,0
0,5,74,6,1,0
0,4,107,39,0,0
0,6,134,33,0,0
0,3,32,0,0,0
0,12,331,11,0,0
0,0,15,1,0,0
0,4,66,4,4,0
0,0,12,1,0,0
0,0,14,0,0,0
0,0,38,0,0,0
0,6,59,13,0,0
0,16,442,11,3,0
0,0,1,0,0,0
0,1,66,4,1,0
0,0,8,0,0,0
0,0,81,3,1,0
0,6,72,4,1,0
0,1,45,1,0,0
0,2,24,3,2,0
0,0,30,3,0,0
0,13,10,0,1,0
0,4,64,12,3,0
0,0,15,7,2,0
0,4,78,7,4,0
0,0,31,4,9,0
0,0,7,0,0,0
