I,R,C,W,E,F
0,0,32,55,1,0
0,0,18,31,1,0
0,0,47,1,0,0
0,0,4,8,0,0
0,0,2,8,0,0
0,0,1,8,0,0
0,1,13,41,0,0
0,0,10,105,1,0
0,3,44,179,1,0
0,0,17,91,1,0
0,1,5,100,1,0
0,2,4,11,0,0
0,0,8,68,1,0
0,2,148,283,1,0
0,2,16,145,1,0
0,4,7,18,1,0
0,2,15,182,1,0
0,0,29,195,2,0
0,1,18,72,2,0
0,0,5,29,2,0
0,1,5,77,1,0
0,1,30,112,2,0
0,99,9,106,1,0
0,2,129,457,1,0
0,3,133,749,2,0
0,0,78,370,2,0
0,2,7,89,1,0
0,0,44,207,2,0
0,2,9,104,0,0
0,0,4,8,0,0
0,8,165,911,1,0
0,1,15,139,1,0
0,17,94,725,4,0
0,9,72,314,4,0
0,0,27,163,2,0
0,0,3,107,0,0
0,2,317,213,2,0
0,0,15,78,1,0
0,1,11,75,1,0
0,0,3,22,1,0
0,21,92,545,3,0
0,8,126,714,3,0
0,0,53,221,1,0
0,0,12,46,0,0
0,0,134,368,2,0
0,0,1,11,0,0
0,0,3,0,0,0
0,3,4,81,1,0
0,0,4,47,0,0
