I,R,C,W,E,F
0,12,25,1,2,0
0,23,21,14,9,0
0,0,17,2,5,0
0,1,14,17,4,0
0,0,12,0,3,0
0,0,10,0,0,0
0,0,27,1,1,0
0,0,2,3,3,0
0,0,11,1,1,0
0,2,5,0,2,0
0,0,7,3,0,0
0,0,6,5,1,0
0,0,4,0,2,0
0,0,4,5,1,0
0,1,55,5,1,0
0,0,2,0,1,0
0,0,2,1,1,0
0,36,97,35,4,0
0,4,9,0,2,0
0,5,7,1,2,0
0,22,58,40,5,0
0,4,5,0,1,0
0,7,10,5,1,0
0,8,11,1,1,0
0,2,11,4,1,0
0,1,41,13,1,0
0,3,8,3,1,0
0,2,2,2,3,0
0,46,152,20,2,0
0,19,25,1,2,0
0,6,221,36,15,0
0,47,80,11,2,0
0,0,15,1,0,0
0,3,138,45,3,0
0,1,75,19,3,0
0,0,9,0,0,0
0,0,37,1,1,0
0,1,53,9,1,0
0,2,157,8,1,0
0,0,2,0,0,0
0,0,7,3,1,0
0,4,21,12,4,0
0,11,15,8,2,0
0,2,33,0,0,0
0,0,1,2,0,0
0,5,17,3,2,0
0,1,5,1,3,0
0,2,40,13,7,0
0,6,34,14,4,0
0,1,8,1,0,0
0,0,1,4,2,0
0,1,1,0,0,0
0,0,2,0,0,0
0,0,1,0,0,0
0,1,0,1,1,0
0,0,3,2,1,0
0,16,144,43,8,0
0,0,1,0,0,0
0,1,8,1,1,0
0,1,10,1,2,0
0,4,2,7,4,0
0,9,26,12,1,0
0,0,1,0,0,0
0,1,4,4,1,0
0,1,1,0,0,0
0,0,1,2,1,0
0,6,5,0,0,0
0,2,28,7,16,0
0,3,14,1,1,0
0,0,3,0,0,0
0,2,5,0,0,0
0,0,1,0,0,0
