I,R,C,W,E,F
0,5,22,1,1,0
0,0,4,0,0,0
0,0,7,5,0,0
0,1,7,0,0,0
0,1,25,8,0,0
0,2,11,10,0,0
0,0,28,11,3,0
0,7,14,8,0,0
0,2,13,0,0,0
0,1,4,1,0,0
0,4,18,4,1,0
0,7,34,7,1,0
0,0,5,0,0,0
0,0,5,0,0,0
0,0,7,0,0,0
0,1,11,2,0,0
0,0,6,0,0,0
0,0,7,0,0,0
0,0,3,0,0,0
0,0,3,0,0,0
0,0,3,1,0,0
0,0,2,0,0,0
0,3,30,0,1,0
0,10,139,10,0,0
0,11,127,166,10,0
0,1,6,0,0,0
0,1,300,29,440,0
0,3,13,3,0,0
0,3,72,7,0,0
0,2,38,0,0,0
0,1,9,1,0,0
0,0,35,3,1,0
0,15,71,22,2,0
0,12,176,25,2,0
0,1,25,21,0,0
0,7,38,2,0,0
0,2,19,5,6,0
0,7,52,3,0,0
