I,R,C,W,E,F
0,1,31,2,0,0
0,36,18,0,7,0
0,0,8,0,1,0
0,0,3,1,5,0
0,13,20,2,30,0
0,0,0,0,1,0
0,1,3,0,0,0
0,0,1,0,2,0
0,2,10,2,3,0
0,7,112,16,17,0
0,2,4,0,0,0
0,0,4,0,1,0
0,3,2,1,2,0
0,0,5,0,0,0
0,1,1,2,0,0
0,0,3,0,0,0
0,11,9,8,32,0
0,1,6,1,5,0
0,0,8,0,0,0
0,0,13,3,4,0
0,1,6,0,0,0
0,0,0,0,1,0
0,1,29,0,6,0
0,0,0,0,1,0
0,0,8,1,3,0
0,2,2,5,2,0
0,1,11,11,12,0
0,5,3,8,3,0
0,1,4,2,0,0
0,4,7,3,3,0
0,0,0,0,1,0
0,3,2,1,5,0
0,2,16,3,10,0
0,1,8,0,2,0
0,0,12,0,3,0
0,0,3,2,2,0
0,5,0,1,6,0
0,0,8,0,2,0
0,0,0,0,1,0
0,1,17,1,4,0
0,0,0,0,1,0
0,0,1,0,0,0
0,3,1,2,2,0
0,0,6,0,0,0
0,6,10,3,2,0
0,0,26,2,0,0
0,0,0,0,1,0
0,2,10,4,4,0
0,1,7,6,3,0
0,3,3,4,2,0
0,3,1,2,3,0
0,0,7,2,0,0
0,1,1,0,0,0
0,3,5,1,2,0
0,0,3,0,0,0
0,1,3,1,7,0
0,0,4,1,2,0
0,0,1,3,2,0
0,2,2,6,7,0
0,3,19,0,3,0
0,1,0,0,0,0
0,0,0,1,2,0
0,0,3,0,0,0
0,0,0,0,1,0
0,0,13,13,4,0
0,0,0,0,1,0
0,6,7,55,2,0
0,0,4,2,1,0
0,2,0,0,1,0
0,0,3,0,0,0
0,0,0,1,0,0
0,0,8,0,4,0
0,0,3,0,3,0
0,0,7,0,0,0
0,0,3,2,2,0
0,0,5,1,3,0
0,3,4,1,1,0
0,0,5,0,4,0
0,7,2,18,4,0
0,0,3,2,1,0
0,0,0,0,1,0
0,1,1,1,8,0
0,1,17,1,5,0
0,1,0,0,4,0
0,3,0,0,0,0
0,0,3,0,0,0
0,0,2,0,7,0
0,1,12,1,0,0
0,0,1,2,4,0
0,1,19,17,2,0
0,0,0,0,1,0
0,3,55,10,7,0
0,2,0,0,0,0
0,0,4,0,0,0
0,0,0,0,1,0
0,0,9,0,3,0
0,2,3,1,1,0
0,2,3,1,1,0
0,1,13,0,0,0
0,0,0,0,1,0
0,0,4,0,0,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,3,0,4,0
0,1,7,7,9,0
0,4,2,4,6,0
0,0,3,0,0,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,14,5,6,0
0,0,0,0,1,0
0,0,2,0,1,0
0,0,12,0,4,0
0,2,13,2,2,0
0,0,4,2,2,0
0,16,26,0,2,0
0,0,0,0,1,0
0,5,30,4,6,0
0,5,14,5,1,0
0,1,0,2,0,0
0,0,3,0,0,0
0,0,2,0,0,0
0,4,4,7,4,0
0,1,1,2,2,0
0,0,15,2,0,0
0,5,3,3,1,0
0,0,28,3,0,0
0,1,1,2,1,0
0,0,12,0,0,0
0,1,1,1,1,0
0,0,22,0,0,0
0,8,10,1,0,0
0,0,6,2,0,0
0,2,3,1,1,0
0,2,2,0,2,0
0,1,9,0,0,0
0,3,8,0,3,0
0,6,75,22,4,0
0,0,1,0,1,0
0,4,11,4,2,0
0,20,52,1,4,0
0,0,2,0,4,0
0,0,22,13,0,0
0,0,3,2,0,0
0,4,35,13,2,0
0,11,225,7,10,0
0,0,54,20,0,0
0,10,15,4,19,0
0,3,28,0,0,0
0,0,0,0,1,0
0,1,28,0,2,0
0,1,3,6,0,0
0,0,12,8,0,0
0,0,0,6,0,0
0,0,11,0,0,0
0,0,1,0,0,0
0,1,4,8,0,0
0,0,0,0,1,0
0,0,3,0,2,0
0,1,0,1,0,0
0,0,3,0,0,0
0,2,0,0,3,0
0,0,4,1,0,0
0,0,0,0,1,0
0,0,24,3,5,0
