I,R,C,W,E,F
0,0,46,0,1,0
0,0,41,1,3,0
0,0,17,0,1,0
0,0,41,0,1,0
0,1,68,8,5,0
0,0,35,3,1,0
0,0,32,0,1,0
0,5,53,6,2,0
0,0,41,0,1,0
0,0,38,0,1,0
0,0,36,1,1,0
0,0,52,0,1,0
0,0,33,0,1,0
0,0,45,3,1,0
0,0,60,1,1,0
0,0,8,0,0,0
0,0,45,0,1,0
0,6,57,64,1,0
0,5,9,5,2,0
0,36,293,276,3,0
0,0,10,3,0,0
0,1,2,7,2,0
0,0,2,2,2,0
0,1,4,5,2,0
0,4,9,10,2,0
0,0,3,4,1,0
0,0,3,2,1,0
0,1,5,12,1,0
0,3,8,9,1,0
0,4,3,4,1,0
0,0,3,11,1,0
0,9,15,7,1,0
0,46,13,11,1,0
0,3,6,9,1,0
0,0,7,4,1,0
0,8,20,12,2,0
0,6,4,9,2,0
0,3,9,114,1,0
0,0,5,7,1,0
0,3,6,12,1,0
0,1,7,11,1,0
0,2,10,17,1,0
0,0,8,4,1,0
0,0,13,8,1,0
0,1,2,25,2,0
0,8,28,23,5,0
0,0,10,9,1,0
0,0,2,4,1,0
0,12,6,0,1,0
0,0,2,4,1,0
0,4,5,4,1,0
0,1,8,4,1,0
0,2,8,5,1,0
0,11,18,6,2,0
0,0,19,6,1,0
0,0,10,5,1,0
0,208,1,0,2,0
0,0,0,33,0,0
0,0,0,1,1,0
0,0,0,5,1,0
0,1,2,0,1,0
0,2,5,4,1,0
0,0,4,6,0,0
0,0,0,5,1,0
0,0,0,3,1,0
0,1,0,1,0,0
0,6,3,1,1,0
0,3,7,5,4,0
0,4,2,6,5,0
0,0,0,5,1,0
0,3,4,2,1,0
0,1,2,6,2,0
0,0,0,3,1,0
0,0,0,3,1,0
0,0,0,3,0,0
0,11,6,2,2,0
0,0,1,7,1,0
0,0,1,2,1,0
0,0,0,0,1,0
0,0,1,0,0,0
0,0,0,0,1,0
0,0,0,3,1,0
0,0,0,5,2,0
0,0,0,3,1,0
0,0,13,0,1,0
0,0,1,5,1,0
0,0,1,3,1,0
0,0,1,3,1,0
0,0,0,4,0,0
0,8,11,22,1,0
0,0,4,4,0,0
0,1,0,0,0,0
0,120,108,159,1,0
